,id,year,month,cons_sent
0,195211,1952,11,86.2
1,195302,1953,2,90.7
2,195308,1953,8,80.8
3,195311,1953,11,80.7
4,195402,1954,2,82.0
5,195405,1954,5,82.9
6,195411,1954,11,87.0
7,195502,1955,2,95.9
8,195505,1955,5,99.1
9,195511,1955,11,99.7
10,195605,1956,5,98.2
11,195608,1956,8,99.9
12,195611,1956,11,100.2
13,195705,1957,5,92.9
14,195711,1957,11,83.7
15,195802,1958,2,78.5
16,195805,1958,5,80.9
17,195811,1958,11,90.8
18,195905,1959,5,95.3
19,195911,1959,11,93.8
20,196002,1960,2,100.0
21,196005,1960,5,93.3
22,196008,1960,8,97.2
23,196011,1960,11,90.1
24,196102,1961,2,91.6
25,196105,1961,5,92.5
26,196108,1961,8,99.2
27,196111,1961,11,93.0
28,196202,1962,2,99.9
29,196205,1962,5,95.4
30,196208,1962,8,91.6
31,196211,1962,11,95.0
32,196302,1963,2,98.4
33,196305,1963,5,91.7
34,196308,1963,8,96.4
35,196311,1963,11,94.4
36,196402,1964,2,99.5
37,196405,1964,5,98.5
38,196408,1964,8,100.6
39,196411,1964,11,99.9
40,196502,1965,2,102.0
41,196505,1965,5,105.4
42,196508,1965,8,103.4
43,196511,1965,11,102.9
44,196602,1966,2,100.0
45,196605,1966,5,95.7
46,196608,1966,8,91.2
47,196611,1966,11,88.3
48,196702,1967,2,94.1
49,196705,1967,5,95.9
50,196708,1967,8,97.0
51,196711,1967,11,92.9
52,196802,1968,2,97.2
53,196805,1968,5,92.4
54,196808,1968,8,92.4
55,196811,1968,11,91.7
56,196902,1969,2,98.2
57,196905,1969,5,91.5
58,196908,1969,8,86.4
59,196911,1969,11,79.7
60,197002,1970,2,78.1
61,197005,1970,5,75.4
62,197008,1970,8,77.6
63,197011,1970,11,72.4
64,197102,1971,2,78.1
65,197105,1971,5,80.2
66,197108,1971,8,82.1
67,197111,1971,11,82.0
68,197202,1972,2,92.8
69,197205,1972,5,88.6
70,197208,1972,8,95.2
71,197211,1972,11,90.7
72,197302,1973,2,81.9
73,197305,1973,5,77.0
74,197308,1973,8,72.0
75,197311,1973,11,76.5
76,197402,1974,2,61.8
77,197405,1974,5,72.1
78,197408,1974,8,64.4
79,197411,1974,11,59.5
80,197502,1975,2,57.6
81,197505,1975,5,72.8
82,197508,1975,8,75.7
83,197511,1975,11,75.6
84,197602,1976,2,84.6
85,197605,1976,5,83.3
86,197608,1976,8,89.7
87,197611,1976,11,87.0
88,197702,1977,2,87.1
89,197705,1977,5,90.2
90,197708,1977,8,89.0
91,197711,1977,11,84.4
92,197801,1978,1,83.7
93,197802,1978,2,84.3
94,197803,1978,3,78.8
95,197804,1978,4,81.6
96,197805,1978,5,82.9
97,197806,1978,6,80.0
98,197807,1978,7,82.4
99,197808,1978,8,78.4
100,197809,1978,9,80.4
101,197810,1978,10,79.3
102,197811,1978,11,75.0
103,197812,1978,12,66.1
104,197901,1979,1,72.1
105,197902,1979,2,73.9
106,197903,1979,3,68.4
107,197904,1979,4,66.0
108,197905,1979,5,68.1
109,197906,1979,6,65.8
110,197907,1979,7,60.4
111,197908,1979,8,64.5
112,197909,1979,9,66.7
113,197910,1979,10,62.1
114,197911,1979,11,63.3
115,197912,1979,12,61.0
116,198001,1980,1,67.0
117,198002,1980,2,66.9
118,198003,1980,3,56.5
119,198004,1980,4,52.7
120,198005,1980,5,51.7
121,198006,1980,6,58.7
122,198007,1980,7,62.3
123,198008,1980,8,67.3
124,198009,1980,9,73.7
125,198010,1980,10,75.0
126,198011,1980,11,76.7
127,198012,1980,12,64.5
128,198101,1981,1,71.4
129,198102,1981,2,66.9
130,198103,1981,3,66.5
131,198104,1981,4,72.4
132,198105,1981,5,76.3
133,198106,1981,6,73.1
134,198107,1981,7,74.1
135,198108,1981,8,77.2
136,198109,1981,9,73.1
137,198110,1981,10,70.3
138,198111,1981,11,62.5
139,198112,1981,12,64.3
140,198201,1982,1,71.0
141,198202,1982,2,66.5
142,198203,1982,3,62.0
143,198204,1982,4,65.5
144,198205,1982,5,67.5
145,198206,1982,6,65.7
146,198207,1982,7,65.4
147,198208,1982,8,65.4
148,198209,1982,9,69.3
149,198210,1982,10,73.4
150,198211,1982,11,72.1
151,198212,1982,12,71.9
152,198301,1983,1,70.4
153,198302,1983,2,74.6
154,198303,1983,3,80.8
155,198304,1983,4,89.1
156,198305,1983,5,93.3
157,198306,1983,6,92.2
158,198307,1983,7,92.8
159,198308,1983,8,90.9
160,198309,1983,9,89.9
161,198310,1983,10,89.3
162,198311,1983,11,91.1
163,198312,1983,12,94.2
164,198401,1984,1,100.1
165,198402,1984,2,97.4
166,198403,1984,3,101.0
167,198404,1984,4,96.1
168,198405,1984,5,98.1
169,198406,1984,6,95.5
170,198407,1984,7,96.6
171,198408,1984,8,99.1
172,198409,1984,9,100.9
173,198410,1984,10,96.3
174,198411,1984,11,95.7
175,198412,1984,12,92.9
176,198501,1985,1,96.0
177,198502,1985,2,93.7
178,198503,1985,3,93.7
179,198504,1985,4,94.6
180,198505,1985,5,91.8
181,198506,1985,6,96.5
182,198507,1985,7,94.0
183,198508,1985,8,92.4
184,198509,1985,9,92.1
185,198510,1985,10,88.4
186,198511,1985,11,90.9
187,198512,1985,12,93.9
188,198601,1986,1,95.6
189,198602,1986,2,95.9
190,198603,1986,3,95.1
191,198604,1986,4,96.2
192,198605,1986,5,94.8
193,198606,1986,6,99.3
194,198607,1986,7,97.7
195,198608,1986,8,94.9
196,198609,1986,9,91.9
197,198610,1986,10,95.6
198,198611,1986,11,91.4
199,198612,1986,12,89.1
200,198701,1987,1,90.4
201,198702,1987,2,90.2
202,198703,1987,3,90.8
203,198704,1987,4,92.8
204,198705,1987,5,91.1
205,198706,1987,6,91.5
206,198707,1987,7,93.7
207,198708,1987,8,94.4
208,198709,1987,9,93.6
209,198710,1987,10,89.3
210,198711,1987,11,83.1
211,198712,1987,12,86.8
212,198801,1988,1,90.8
213,198802,1988,2,91.6
214,198803,1988,3,94.6
215,198804,1988,4,91.2
216,198805,1988,5,94.8
217,198806,1988,6,94.7
218,198807,1988,7,93.4
219,198808,1988,8,97.4
220,198809,1988,9,97.3
221,198810,1988,10,94.1
222,198811,1988,11,93.0
223,198812,1988,12,91.9
224,198901,1989,1,97.9
225,198902,1989,2,95.4
226,198903,1989,3,94.3
227,198904,1989,4,91.5
228,198905,1989,5,90.7
229,198906,1989,6,90.6
230,198907,1989,7,92.0
231,198908,1989,8,89.6
232,198909,1989,9,95.8
233,198910,1989,10,93.9
234,198911,1989,11,90.9
235,198912,1989,12,90.5
236,199001,1990,1,93.0
237,199002,1990,2,89.5
238,199003,1990,3,91.3
239,199004,1990,4,93.9
240,199005,1990,5,90.6
241,199006,1990,6,88.3
242,199007,1990,7,88.2
243,199008,1990,8,76.4
244,199009,1990,9,72.8
245,199010,1990,10,63.9
246,199011,1990,11,66.0
247,199012,1990,12,65.5
248,199101,1991,1,66.8
249,199102,1991,2,70.4
250,199103,1991,3,87.7
251,199104,1991,4,81.8
252,199105,1991,5,78.3
253,199106,1991,6,82.1
254,199107,1991,7,82.9
255,199108,1991,8,82.0
256,199109,1991,9,83.0
257,199110,1991,10,78.3
258,199111,1991,11,69.1
259,199112,1991,12,68.2
260,199201,1992,1,67.5
261,199202,1992,2,68.8
262,199203,1992,3,76.0
263,199204,1992,4,77.2
264,199205,1992,5,79.2
265,199206,1992,6,80.4
266,199207,1992,7,76.6
267,199208,1992,8,76.1
268,199209,1992,9,75.6
269,199210,1992,10,73.3
270,199211,1992,11,85.3
271,199212,1992,12,91.0
272,199301,1993,1,89.3
273,199302,1993,2,86.6
274,199303,1993,3,85.9
275,199304,1993,4,85.6
276,199305,1993,5,80.3
277,199306,1993,6,81.5
278,199307,1993,7,77.0
279,199308,1993,8,77.3
280,199309,1993,9,77.9
281,199310,1993,10,82.7
282,199311,1993,11,81.2
283,199312,1993,12,88.2
284,199401,1994,1,94.3
285,199402,1994,2,93.2
286,199403,1994,3,91.5
287,199404,1994,4,92.6
288,199405,1994,5,92.8
289,199406,1994,6,91.2
290,199407,1994,7,89.0
291,199408,1994,8,91.7
292,199409,1994,9,91.5
293,199410,1994,10,92.7
294,199411,1994,11,91.6
295,199412,1994,12,95.1
296,199501,1995,1,97.6
297,199502,1995,2,95.1
298,199503,1995,3,90.3
299,199504,1995,4,92.5
300,199505,1995,5,89.8
301,199506,1995,6,92.7
302,199507,1995,7,94.4
303,199508,1995,8,96.2
304,199509,1995,9,88.9
305,199510,1995,10,90.2
306,199511,1995,11,88.2
307,199512,1995,12,91.0
308,199601,1996,1,89.3
309,199602,1996,2,88.5
310,199603,1996,3,93.7
311,199604,1996,4,92.7
312,199605,1996,5,89.4
313,199606,1996,6,92.4
314,199607,1996,7,94.7
315,199608,1996,8,95.3
316,199609,1996,9,94.7
317,199610,1996,10,96.5
318,199611,1996,11,99.2
319,199612,1996,12,96.9
320,199701,1997,1,97.4
321,199702,1997,2,99.7
322,199703,1997,3,100.0
323,199704,1997,4,101.4
324,199705,1997,5,103.2
325,199706,1997,6,104.5
326,199707,1997,7,107.1
327,199708,1997,8,104.4
328,199709,1997,9,106.0
329,199710,1997,10,105.6
330,199711,1997,11,107.2
331,199712,1997,12,102.1
332,199801,1998,1,106.6
333,199802,1998,2,110.4
334,199803,1998,3,106.5
335,199804,1998,4,108.7
336,199805,1998,5,106.5
337,199806,1998,6,105.6
338,199807,1998,7,105.2
339,199808,1998,8,104.4
340,199809,1998,9,100.9
341,199810,1998,10,97.4
342,199811,1998,11,102.7
343,199812,1998,12,100.5
344,199901,1999,1,103.9
345,199902,1999,2,108.1
346,199903,1999,3,105.7
347,199904,1999,4,104.6
348,199905,1999,5,106.8
