"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-01",101.755,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-02",101.459,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-03",101.2032,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-04",101.0621,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-05",101.0978,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-06",101.1986,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-07",101.2199,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-08",101.0588,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-09",100.8092,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-10",100.6019,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-11",100.5346,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-12",100.5589,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-01",100.6147,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-02",100.6741,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-03",100.7532,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-04",100.8931,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-05",101.1215,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-06",101.3532,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-07",101.4645,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-08",101.363,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-09",101.1787,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-10",101.0863,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-11",101.2092,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-12",101.4328,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-01",101.5924,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-02",101.5611,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-03",101.4012,
