DATE,WALCL
12/18/2002,719542
12/25/2002,732059
1/1/2003,730994
1/8/2003,723762
1/15/2003,720074
1/22/2003,735953
1/29/2003,712809
2/5/2003,719643
2/12/2003,713281
2/19/2003,730400
2/26/2003,721980
3/5/2003,722649
3/12/2003,717014
3/19/2003,729923
3/26/2003,725019
4/2/2003,732452
4/9/2003,727826
4/16/2003,745838
4/23/2003,732222
4/30/2003,746294
5/7/2003,733466
5/14/2003,740371
5/21/2003,734699
5/28/2003,744896
6/4/2003,731667
6/11/2003,743236
6/18/2003,735926
6/25/2003,744018
7/2/2003,740126
7/9/2003,744430
7/16/2003,737765
7/23/2003,745665
7/30/2003,740295
8/6/2003,734018
8/13/2003,735386
8/20/2003,750825
8/27/2003,740637
9/3/2003,750461
9/10/2003,737234
9/17/2003,743939
9/24/2003,741193
10/1/2003,753155
10/8/2003,737108
10/15/2003,754229
10/22/2003,743578
10/29/2003,747272
11/5/2003,744116
11/12/2003,745604
11/19/2003,744521
11/26/2003,756964
12/3/2003,749981
12/10/2003,756585
12/17/2003,753919
12/24/2003,767012
12/31/2003,771551
1/7/2004,755829
1/14/2004,752812
1/21/2004,775833
1/28/2004,755279
2/4/2004,754153
2/11/2004,750999
2/18/2004,758759
2/25/2004,750666
3/3/2004,754867
3/10/2004,749950
3/17/2004,760638
3/24/2004,751510
3/31/2004,760725
4/7/2004,754083
4/14/2004,763734
4/21/2004,757984
4/28/2004,772927
5/5/2004,758838
5/12/2004,764835
5/19/2004,756874
5/26/2004,771108
6/2/2004,764090
6/9/2004,772187
6/16/2004,761834
6/23/2004,775261
6/30/2004,779578
7/7/2004,778163
7/14/2004,775536
7/21/2004,776764
7/28/2004,773916
8/4/2004,772085
8/11/2004,769265
8/18/2004,767595
8/25/2004,775437
9/1/2004,785273
9/8/2004,788602
9/15/2004,789128
9/22/2004,782124
9/29/2004,786330
10/6/2004,781777
10/13/2004,795483
10/20/2004,784954
10/27/2004,791336
11/3/2004,790552
11/10/2004,800473
11/17/2004,794090
11/24/2004,809956
12/1/2004,807063
12/8/2004,808495
12/15/2004,807028
12/22/2004,811333
12/29/2004,810944
1/5/2005,815702
1/12/2005,798455
1/19/2005,806960
1/26/2005,807262
2/2/2005,804746
2/9/2005,797299
2/16/2005,795606
2/23/2005,804576
3/2/2005,801252
3/9/2005,799250
3/16/2005,807211
3/23/2005,797094
3/30/2005,807551
4/6/2005,797327
4/13/2005,805707
4/20/2005,801793
4/27/2005,809797
5/4/2005,802412
5/11/2005,808378
5/18/2005,801546
5/25/2005,810160
6/1/2005,817335
6/8/2005,814172
6/15/2005,811198
6/22/2005,810429
6/29/2005,810082
7/6/2005,821556
7/13/2005,808861
7/20/2005,816804
7/27/2005,814259
8/3/2005,818841
8/10/2005,808544
8/17/2005,813774
8/24/2005,811313
8/31/2005,823237
9/7/2005,822500
9/14/2005,823590
9/21/2005,812926
9/28/2005,823771
10/5/2005,817137
10/12/2005,826306
10/19/2005,814281
10/26/2005,819105
11/2/2005,814571
11/9/2005,824991
11/16/2005,823263
11/23/2005,833124
11/30/2005,835059
12/7/2005,833250
12/14/2005,830950
12/21/2005,848317
12/28/2005,847700
1/4/2006,851856
1/11/2006,829357
1/18/2006,836042
1/25/2006,828901
