DATE,WTREGEN
1/8/1986,4.14
1/15/1986,5.032
1/22/1986,13.856
1/29/1986,17.487
2/5/1986,12.475
2/12/1986,6.854
2/19/1986,6.167
2/26/1986,6.922
3/5/1986,4.477
3/12/1986,3.496
3/19/1986,3.044
3/26/1986,3.61
4/2/1986,2.926
4/9/1986,3.365
4/16/1986,3.393
4/23/1986,2.221
4/30/1986,6.769
5/7/1986,7.246
5/14/1986,4.591
5/21/1986,3.972
5/28/1986,3.58
6/4/1986,2.687
6/11/1986,2.475
6/18/1986,3.075
6/25/1986,3.428
7/2/1986,2.79
7/9/1986,3.036
7/16/1986,3.992
7/23/1986,3.633
7/30/1986,3.862
8/6/1986,3.524
8/13/1986,3.695
8/20/1986,3.454
8/27/1986,3.284
9/3/1986,2.095
9/10/1986,3.424
9/17/1986,4.098
9/24/1986,7.625
10/1/1986,8.63
10/8/1986,3.424
10/15/1986,2.701
10/22/1986,3.552
10/29/1986,3.332
11/5/1986,2.919
11/12/1986,3.73
11/19/1986,3.696
11/26/1986,2.474
12/3/1986,2.606
12/10/1986,2.794
12/17/1986,3.524
12/24/1986,3.391
12/31/1986,5.34
1/7/1987,5.959
1/14/1987,4.306
1/21/1987,9.302
1/28/1987,16.853
2/4/1987,12.895
2/11/1987,3.832
2/18/1987,4.271
2/25/1987,4.208
3/4/1987,3.328
3/11/1987,3.391
3/18/1987,3.255
3/25/1987,2.865
4/1/1987,3.025
4/8/1987,3.923
4/15/1987,3.815
4/22/1987,4.758
4/29/1987,13.312
5/6/1987,22.844
5/13/1987,21.006
5/20/1987,14.94
5/27/1987,12.684
6/3/1987,5.067
6/10/1987,3.712
6/17/1987,3.879
6/24/1987,14.57
7/1/1987,15.561
7/8/1987,4.985
7/15/1987,5.685
7/22/1987,5.316
7/29/1987,3.872
8/5/1987,5.261
8/12/1987,3.106
8/19/1987,3.174
8/26/1987,3.116
9/2/1987,3.496
9/9/1987,3.698
9/16/1987,4.207
9/23/1987,21.647
9/30/1987,14.355
10/7/1987,5.341
10/14/1987,3.281
10/21/1987,12.191
10/28/1987,13.822
11/4/1987,7.367
11/11/1987,3.958
11/18/1987,3.836
11/25/1987,3.325
12/2/1987,3.403
12/9/1987,3.792
12/16/1987,4.817
12/23/1987,4.219
12/30/1987,3.719
1/6/1988,4.773
1/13/1988,4.773
1/20/1988,4.773
1/27/1988,4.773
2/3/1988,4.773
2/10/1988,4.773
2/17/1988,4.773
2/24/1988,4.773
3/2/1988,4.773
3/9/1988,4.773
3/16/1988,4.773
3/23/1988,4.773
3/30/1988,4.773
4/6/1988,4.773
4/13/1988,4.773
4/20/1988,4.773
4/27/1988,4.773
5/4/1988,4.773
5/11/1988,4.773
5/18/1988,4.773
5/25/1988,4.773
6/1/1988,4.773
6/8/1988,4.773
6/15/1988,4.773
6/22/1988,4.773
6/29/1988,4.773
7/6/1988,4.773
7/13/1988,4.773
7/20/1988,4.773
7/27/1988,4.773
8/3/1988,4.773
8/10/1988,4.773
8/17/1988,4.773
8/24/1988,4.773
8/31/1988,4.773
9/7/1988,4.773
9/14/1988,4.773
9/21/1988,4.773
9/28/1988,4.773
10/5/1988,4.773
10/12/1988,4.773
10/19/1988,4.773
10/26/1988,4.773
11/2/1988,4.773
11/9/1988,4.773
11/16/1988,4.773
11/23/1988,4.773
11/30/1988,4.773
12/7/1988,4.773
12/14/1988,4.773
12/21/1988,4.773
12/28/1988,4.773
1/4/1989,4.773
1/11/1989,4.773
1/18/1989,4.773
1/25/1989,4.773
2/1/1989,4.773
2/8/1989,4.773
2/15/1989,4.773
2/22/1989,4.773
3/1/1989,4.773
3/8/1989,4.773
3/15/1989,4.773
3/22/1989,4.22
3/29/1989,5.95
4/5/1989,4.824
4/12/1989,6.463
4/19/1989,6.963
4/26/1989,8.12
5/3/1989,21.985
