"Table 1.1.6. Real Gross Domestic Product, Chained Dollars"
"[Billions of chained (2012) dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: December 22, 2021 - Next Release Date January 27, 2021"
"Line","","1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3"
"1","        Gross domestic product",2034.5,2029.0,2024.8,2056.5,2087.4,2121.9,2134.1,2136.4,2107.0,2099.8,2121.5,2103.7,2186.4,2253.0,2340.1,2384.9,2417.3,2459.2,2509.9,2515.4,2542.3,2547.8,2566.2,2650.4,2699.7,2720.6,2705.3,2664.3,2651.6,2654.5,2684.4,2737.0,2815.1,2860.9,2899.6,2917.0,2905.7,2929.7,2927.0,2975.2,2994.3,2987.7,3017.0,2985.8,2908.3,2927.4,2995.1,3065.1,3124.0,3194.4,3196.7,3205.8,3277.8,3260.2,3276.1,3234.1,3255.9,3311.2,3374.7,3440.9,3502.3,3533.9,3577.4,3589.1,3628.3,3669.0,3749.7,3774.3,3853.8,3895.8,3956.7,3968.9,4064.9,4116.3,4207.8,4304.7,4409.5,4424.6,4462.1,4498.7,4538.5,4541.3,4584.2,4618.8,4713.0,4791.8,4828.9,4847.9,4923.8,4938.7,4971.3,4947.1,4939.8,4946.8,4992.4,4938.9,5073.0,5100.4,5142.4,5154.5,5249.3,5368.5,5419.2,5509.9,5646.3,5707.8,5677.7,5731.6,5682.4,5695.9,5642.0,5620.1,5551.7,5591.4,5687.1,5763.7,5893.3,5936.5,5969.1,6012.4,6083.4,6201.7,6313.6,6313.7,6333.8,6578.6,6644.8,6734.1,6746.2,6753.4,6803.6,6820.6,6842.0,6701.0,6693.1,6817.9,6951.5,6900.0,6982.6,6906.5,6799.2,6830.3,6804.1,6806.9,6896.6,7053.5,7194.5,7344.6,7488.2,7617.5,7691.0,7754.1,7829.3,7898.2,8018.8,8078.4,8153.8,8190.6,8268.9,8313.3,8375.3,8465.6,8539.1,8685.7,8730.6,8845.3,8897.1,9015.7,9107.3,9176.8,9244.8,9263.0,9364.3,9398.2,9404.5,9318.9,9275.3,9347.6,9394.8,9427.6,9540.4,9643.9,9739.2,9840.8,9857.2,9914.6,9961.9,10097.4,10195.3,10333.5,10393.9,10513.0,10550.3,10581.7,10671.7,10744.2,10824.7,11005.2,11103.9,11219.2,11291.7,11479.3,11622.9,11722.7,11839.9,11949.5,12099.2,12294.7,12410.8,12514.4,12680.0,12888.3,12935.3,13170.7,13183.9,13262.3,13219.3,13301.4,13248.1,13284.9,13394.9,13477.4,13531.7,13549.4,13619.4,13741.1,13970.2,14131.4,14212.3,14323.0,14457.8,14605.6,14767.8,14839.7,14956.3,15041.2,15244.1,15281.5,15304.5,15433.6,15479.0,15577.8,15671.6,15767.1,15702.9,15792.8,15709.6,15366.6,15187.5,15161.8,15216.6,15379.2,15456.1,15605.6,15726.3,15808.0,15769.9,15876.8,15870.7,16048.7,16180.0,16253.7,16282.2,16300.0,16441.5,16464.4,16594.7,16712.8,16654.2,16868.1,17064.6,17141.2,17280.6,17380.9,17437.1,17462.6,17565.5,17618.6,17724.5,17812.6,17896.6,17996.8,18126.2,18296.7,18436.3,18590.0,18679.6,18721.3,18833.2,18982.5,19112.7,19202.3,18952.0,17258.2,18560.8,18767.8,19055.7,19368.3,19478.9
"2","Personal consumption expenditures",1277.4,1298.7,1302.9,1303.3,1309.8,1325.1,1327.0,1337.6,1339.8,1360.3,1363.4,1383.4,1406.4,1429.6,1503.0,1457.7,1492.9,1450.8,1467.7,1476.2,1479.6,1508.6,1515.8,1569.3,1587.7,1597.3,1593.5,1582.8,1588.7,1609.3,1631.1,1665.3,1702.7,1735.3,1756.7,1778.8,1781.7,1787.6,1791.6,1816.3,1829.0,1832.1,1846.6,1847.4,1821.8,1836.9,1867.4,1892.7,1927.4,1957.2,1977.6,1979.9,1998.8,2024.0,2015.9,2018.5,2017.8,2047.8,2057.8,2099.2,2121.4,2147.5,2164.8,2195.4,2210.8,2231.7,2261.9,2280.8,2325.6,2366.7,2410.4,2417.3,2471.2,2498.5,2541.4,2612.8,2651.4,2658.2,2688.5,2699.7,2715.3,2752.4,2766.5,2783.4,2850.2,2893.6,2947.8,2961.1,2993.9,3013.2,3027.9,3052.1,3071.1,3085.0,3112.0,3103.6,3163.1,3192.2,3217.7,3271.1,3314.2,3377.3,3429.4,3509.8,3573.9,3572.3,3584.9,3574.2,3542.2,3555.0,3570.2,3518.1,3547.6,3605.9,3657.2,3696.5,3770.4,3805.1,3845.1,3895.0,3940.9,3962.3,3999.8,4059.9,4082.7,4170.0,4187.5,4221.3,4243.2,4240.4,4281.7,4292.3,4286.2,4189.7,4235.6,4292.9,4307.2,4307.6,4327.5,4297.9,4329.5,4342.7,4371.8,4448.4,4492.4,4583.9,4666.1,4740.4,4779.8,4846.7,4882.7,4945.9,5030.0,5076.1,5172.6,5183.7,5229.0,5286.0,5379.5,5412.5,5417.9,5491.8,5554.5,5566.3,5664.6,5706.4,5757.1,5822.6,5849.6,5876.9,5933.8,5959.6,6009.7,6028.0,6051.9,6005.9,5983.3,6032.9,6063.0,6059.9,6173.4,6215.3,6281.9,6356.8,6381.2,6439.2,6510.9,6568.0,6643.2,6694.8,6745.9,6818.8,6835.8,6895.7,6958.2,7006.7,7071.4,7147.4,7190.7,7248.0,7324.4,7357.4,7482.7,7572.1,7648.7,7783.4,7884.9,7998.8,8081.0,8204.8,8297.0,8418.3,8545.6,8625.4,8708.1,8784.2,8816.0,8833.7,8864.5,9007.5,9027.5,9073.2,9136.7,9187.5,9232.8,9338.5,9470.5,9535.7,9624.6,9677.2,9790.8,9901.6,9964.5,10074.9,10158.5,10177.2,10288.2,10341.6,10408.0,10507.2,10572.1,10599.8,10670.5,10712.6,10697.9,10727.3,10644.7,10548.9,10522.1,10470.4,10540.8,10529.2,10590.2,10685.1,10761.4,10827.3,10868.7,10879.9,10913.0,10931.8,11010.7,11030.0,11052.4,11096.4,11155.5,11172.6,11214.4,11304.3,11347.6,11453.0,11565.7,11694.9,11772.9,11852.7,11943.0,12003.1,12091.2,12152.6,12223.8,12283.1,12372.2,12430.1,12500.4,12632.0,12707.6,12816.4,12900.6,12955.5,12975.1,13088.8,13192.3,13249.0,13014.5,11756.4,12820.8,12927.9,13282.7,13665.6,13732.4
"3","    Goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2920.5,2928.6,2964.8,2976.6,2993.0,3058.2,3144.2,3172.5,3208.2,3219.3,3264.4,3308.1,3333.4,3382.7,3414.9,3407.7,3478.3,3483.3,3514.0,3563.2,3588.2,3596.6,3619.3,3626.4,3566.8,3561.5,3486.8,3380.5,3381.4,3359.6,3418.2,3399.9,3425.5,3472.2,3498.3,3546.9,3564.6,3551.5,3552.7,3578.4,3623.8,3623.1,3639.1,3665.0,3728.0,3730.7,3757.4,3792.8,3818.1,3886.7,3931.5,3984.4,4032.0,4074.7,4120.4,4136.5,4177.9,4214.3,4255.9,4278.7,4315.5,4361.1,4408.3,4496.1,4511.9,4558.8,4591.4,4615.2,4630.6,4709.1,4765.5,4786.9,4790.2,4665.8,5158.9,5155.0,5476.6,5646.7,5518.3
"4","        Durable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",806.1,811.2,835.5,827.9,828.6,866.3,904.6,917.7,933.7,936.1,960.3,978.5,983.1,1009.3,1029.0,998.2,1037.9,1038.3,1053.2,1068.0,1082.4,1093.7,1107.1,1115.4,1079.3,1071.7,1035.5,959.3,961.0,954.0,1000.3,976.7,988.7,1019.8,1035.9,1064.9,1074.2,1066.6,1076.1,1101.8,1128.8,1130.9,1145.6,1171.6,1201.6,1207.1,1217.3,1230.3,1249.9,1294.8,1318.3,1343.3,1367.5,1396.4,1415.3,1423.3,1441.8,1456.1,1492.5,1513.4,1523.8,1540.2,1576.2,1633.3,1647.8,1676.3,1692.0,1696.7,1693.6,1737.5,1773.1,1794.7,1738.3,1731.8,2030.6,2036.4,2253.5,2316.2,2158.5
"5","        Nondurable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2148.2,2149.7,2153.3,2179.1,2196.7,2214.3,2255.2,2268.1,2285.5,2294.7,2311.1,2334.7,2356.6,2375.3,2384.1,2417.5,2442.3,2447.2,2461.3,2495.5,2503.9,2498.7,2506.5,2504.5,2485.1,2488.9,2452.6,2429.2,2428.3,2413.7,2421.4,2429.1,2442.1,2455.5,2464.6,2483.0,2491.3,2486.0,2477.5,2476.9,2495.0,2492.2,2493.4,2493.5,2526.6,2524.0,2540.5,2562.8,2568.8,2593.6,2615.2,2643.6,2667.4,2681.8,2708.7,2716.9,2740.1,2762.3,2768.5,2771.3,2797.4,2826.8,2839.6,2872.9,2875.3,2895.3,2912.6,2931.3,2948.7,2985.4,3008.2,3010.1,3061.8,2949.1,3159.9,3151.1,3269.3,3377.2,3394.0
"6","    Services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",6117.2,6156.0,6181.0,6220.6,6248.9,6285.6,6327.2,6363.6,6416.3,6458.4,6526.4,6592.9,6630.0,6690.2,6741.2,6768.1,6806.4,6855.4,6890.7,6940.0,6979.7,6999.0,7047.2,7082.3,7128.8,7164.0,7157.6,7169.3,7141.1,7110.6,7122.3,7129.0,7164.6,7213.1,7263.2,7280.7,7304.2,7328.6,7360.5,7353.4,7386.8,7406.8,7413.3,7431.5,7428.2,7442.6,7458.0,7512.5,7531.1,7569.4,7637.7,7714.7,7746.9,7785.4,7831.6,7875.1,7923.1,7950.1,7982.1,8018.8,8072.1,8088.1,8114.8,8165.6,8223.8,8287.3,8339.7,8371.8,8377.8,8420.2,8471.0,8505.9,8284.4,7217.3,7815.2,7917.0,7993.4,8214.3,8378.5
"7","Gross private domestic investment",218.1,201.4,195.5,233.3,257.2,273.1,275.9,262.7,223.5,193.8,209.9,199.5,246.9,273.3,296.8,334.5,300.4,307.3,284.7,262.0,268.9,248.6,261.9,280.8,286.8,288.4,282.4,262.0,260.1,259.5,272.0,284.0,312.3,331.3,336.4,344.2,334.4,331.8,328.8,325.7,320.7,320.4,327.7,302.5,282.1,276.4,297.6,323.0,340.6,367.1,343.4,354.6,390.2,353.8,352.9,313.8,322.0,344.5,371.3,377.5,397.8,394.7,401.4,389.7,410.2,416.7,429.5,434.7,451.0,449.4,459.9,464.2,508.5,509.8,527.6,531.1,573.5,565.0,560.8,564.1,550.3,530.4,545.9,557.7,568.9,590.6,574.5,580.8,615.0,611.4,623.8,593.7,576.0,577.2,586.6,555.5,620.2,637.8,645.5,628.2,669.6,707.6,717.6,722.1,764.5,797.0,768.1,795.5,750.1,747.1,708.4,712.7,597.9,580.1,625.0,642.5,704.5,732.4,734.9,740.4,774.7,830.3,872.3,850.4,867.0,923.3,950.2,972.1,973.8,972.9,956.5,939.5,933.1,853.8,797.4,871.7,952.4,912.9,964.4,930.4,842.4,841.8,834.1,769.6,796.3,866.8,921.1,1010.7,1108.3,1144.4,1169.1,1154.0,1122.3,1141.4,1133.7,1175.5,1175.1,1154.6,1123.5,1126.9,1157.3,1157.9,1158.1,1237.0,1177.6,1205.7,1212.4,1230.9,1272.6,1260.3,1249.0,1239.7,1252.1,1252.4,1228.2,1159.5,1120.9,1120.9,1143.1,1183.6,1161.7,1227.4,1237.2,1274.9,1305.0,1312.5,1303.6,1372.1,1424.4,1494.4,1470.0,1530.5,1546.5,1514.4,1505.4,1542.8,1567.6,1642.9,1717.5,1715.2,1749.9,1857.0,1883.0,1911.0,1994.4,1982.1,2033.0,2095.8,2153.3,2154.7,2213.8,2273.1,2257.1,2390.7,2367.3,2371.8,2264.2,2267.4,2218.4,2108.5,2170.7,2206.4,2203.1,2201.7,2218.7,2234.0,2315.4,2393.4,2398.2,2493.9,2532.6,2585.5,2658.2,2622.8,2657.5,2743.8,2784.6,2766.6,2756.0,2702.5,2683.9,2713.5,2686.1,2653.1,2583.3,2536.4,2485.5,2246.4,1986.8,1872.3,1868.0,2040.7,2087.2,2196.7,2294.7,2287.4,2244.2,2336.1,2343.8,2524.4,2577.2,2636.5,2648.5,2624.9,2722.8,2753.2,2859.8,2870.1,2838.3,2958.1,3018.6,3021.9,3127.3,3136.7,3130.4,3092.7,3079.4,3063.3,3069.3,3147.6,3137.7,3192.8,3241.0,3278.4,3346.3,3352.5,3430.9,3449.6,3503.4,3526.0,3535.9,3477.1,3430.1,2901.9,3371.0,3561.9,3541.3,3506.0,3609.7
"8","    Fixed investment","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2189.1,2186.7,2183.5,2174.3,2194.0,2246.8,2319.7,2361.9,2355.4,2419.8,2471.2,2516.3,2560.4,2603.8,2649.3,2661.2,2711.2,2696.6,2679.3,2660.3,2658.1,2670.6,2655.4,2629.9,2589.1,2567.9,2503.0,2337.8,2151.9,2073.9,2081.6,2092.0,2091.0,2167.1,2178.7,2220.0,2216.2,2268.0,2363.3,2423.7,2499.4,2549.8,2553.6,2599.4,2643.9,2665.3,2711.3,2748.0,2775.6,2852.8,2907.3,2941.2,2949.5,2974.9,2999.8,2991.8,3009.2,3025.5,3052.8,3076.5,3124.7,3154.2,3158.1,3220.3,3273.2,3321.2,3327.9,3342.6,3372.8,3423.2,3449.3,3439.9,3419.6,3123.0,3318.5,3456.6,3564.1,3593.0,3585.0
"9","        Nonresidential","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1492.6,1475.8,1471.0,1451.2,1458.4,1498.7,1530.5,1549.8,1534.4,1572.8,1617.8,1651.0,1675.0,1702.0,1737.5,1750.9,1809.7,1841.3,1872.9,1892.7,1926.8,1969.6,2000.5,2031.3,2039.4,2043.5,2005.4,1888.6,1746.3,1693.2,1683.3,1694.5,1706.4,1762.3,1810.1,1845.2,1842.7,1890.4,1978.9,2029.4,2081.3,2128.0,2120.9,2144.0,2171.6,2177.5,2214.7,2260.0,2291.7,2353.3,2400.8,2415.5,2412.6,2423.6,2432.4,2412.8,2410.4,2426.1,2457.8,2473.6,2505.1,2531.0,2538.7,2590.5,2654.0,2698.0,2716.7,2749.0,2780.7,2826.0,2846.5,2834.7,2775.5,2535.7,2646.9,2726.2,2810.4,2873.1,2884.8
