Year,Quarter,        Gross domestic product,Personal consumption expenditures,    Goods,        Durable goods,        Nondurable goods,    Services,Gross private domestic investment,    Fixed investment,        Nonresidential,            Structures,            Equipment,            Intellectual property products,        Residential,    Change in private inventories,Net exports of goods and services,    Exports,        Goods,        Services,    Imports,        Goods,        Services,Government consumption expenditures and gross investment,    Federal,        National defense,        Nondefense,    State and local,Residual,Month,Date
1947,Q1,2034.5,1277.4,---,---,---,---,218.1,---,---,---,---,---,---,---,---,97.6,---,---,60.4,---,---,524,---,---,---,---,-28.8,3,3/25/1947
1947,Q2,2029,1298.7,---,---,---,---,201.4,---,---,---,---,---,---,---,---,96.4,---,---,61.6,---,---,523.6,---,---,---,---,-25,6,6/25/1947
1947,Q3,2024.8,1302.9,---,---,---,---,195.5,---,---,---,---,---,---,---,---,91.5,---,---,54.6,---,---,523.5,---,---,---,---,-16.5,9,9/25/1947
1947,Q4,2056.5,1303.3,---,---,---,---,233.3,---,---,---,---,---,---,---,---,81.1,---,---,57.5,---,---,519.2,---,---,---,---,-20,12,12/25/1947
1948,Q1,2087.4,1309.8,---,---,---,---,257.2,---,---,---,---,---,---,---,---,77.4,---,---,64.9,---,---,527,---,---,---,---,-33.7,3,3/25/1948
1948,Q2,2121.9,1325.1,---,---,---,---,273.1,---,---,---,---,---,---,---,---,70.2,---,---,67.5,---,---,545.6,---,---,---,---,-52.4,6,6/25/1948
1948,Q3,2134.1,1327,---,---,---,---,275.9,---,---,---,---,---,---,---,---,71.8,---,---,71,---,---,556.9,---,---,---,---,-59.2,9,9/25/1948
1948,Q4,2136.4,1337.6,---,---,---,---,262.7,---,---,---,---,---,---,---,---,69.3,---,---,69.8,---,---,577.5,---,---,---,---,-66,12,12/25/1948
1949,Q1,2107,1339.8,---,---,---,---,223.5,---,---,---,---,---,---,---,---,77.6,---,---,67.7,---,---,592.8,---,---,---,---,-56.4,3,3/25/1949
1949,Q2,2099.8,1360.3,---,---,---,---,193.8,---,---,---,---,---,---,---,---,76.9,---,---,66.7,---,---,618.5,---,---,---,---,-60.4,6,6/25/1949
1949,Q3,2121.5,1363.4,---,---,---,---,209.9,---,---,---,---,---,---,---,---,70.5,---,---,64,---,---,621.8,---,---,---,---,-75.1,9,9/25/1949
1949,Q4,2103.7,1383.4,---,---,---,---,199.5,---,---,---,---,---,---,---,---,61,---,---,65,---,---,610.9,---,---,---,---,-63.6,12,12/25/1949
1950,Q1,2186.4,1406.4,---,---,---,---,246.9,---,---,---,---,---,---,---,---,60,---,---,66.8,---,---,599.6,---,---,---,---,-69.3,3,3/25/1950
1950,Q2,2253,1429.6,---,---,---,---,273.3,---,---,---,---,---,---,---,---,60.8,---,---,70.5,---,---,610.5,---,---,---,---,-64.5,6,6/25/1950
1950,Q3,2340.1,1503,---,---,---,---,296.8,---,---,---,---,---,---,---,---,62.3,---,---,87,---,---,600.7,---,---,---,---,-53.9,9,9/25/1950
1950,Q4,2384.9,1457.7,---,---,---,---,334.5,---,---,---,---,---,---,---,---,67.4,---,---,87.1,---,---,643.1,---,---,---,---,-88.9,12,12/25/1950
1951,Q1,2417.3,1492.9,---,---,---,---,300.4,---,---,---,---,---,---,---,---,70.8,---,---,87.2,---,---,711.5,---,---,---,---,-107.3,3,3/25/1951
1951,Q2,2459.2,1450.8,---,---,---,---,307.3,---,---,---,---,---,---,---,---,77.7,---,---,84.3,---,---,806.4,---,---,---,---,-151.3,6,6/25/1951
1951,Q3,2509.9,1467.7,---,---,---,---,284.7,---,---,---,---,---,---,---,---,79.6,---,---,77.1,---,---,895,---,---,---,---,-174.7,9,9/25/1951
1951,Q4,2515.4,1476.2,---,---,---,---,262,---,---,---,---,---,---,---,---,78.9,---,---,75.1,---,---,942.4,---,---,---,---,-183.8,12,12/25/1951
1952,Q1,2542.3,1479.6,---,---,---,---,268.9,---,---,---,---,---,---,---,---,83.1,---,---,83.8,---,---,970.4,---,---,---,---,-194.5,3,3/25/1952
1952,Q2,2547.8,1508.6,---,---,---,---,248.6,---,---,---,---,---,---,---,---,74,---,---,83.4,---,---,1003.5,---,---,---,---,-198.9,6,6/25/1952
1952,Q3,2566.2,1515.8,---,---,---,---,261.9,---,---,---,---,---,---,---,---,68.1,---,---,88.5,---,---,1013.6,---,---,---,---,-225.5,9,9/25/1952
1952,Q4,2650.4,1569.3,---,---,---,---,280.8,---,---,---,---,---,---,---,---,68.6,---,---,96.4,---,---,1030.5,---,---,---,---,-223.1,12,12/25/1952
1953,Q1,2699.7,1587.7,---,---,---,---,286.8,---,---,---,---,---,---,---,---,67.4,---,---,94.1,---,---,1063.2,---,---,---,---,-228.2,3,3/25/1953
1953,Q2,2720.6,1597.3,---,---,---,---,288.4,---,---,---,---,---,---,---,---,67.8,---,---,98.9,---,---,1085,---,---,---,---,-235.5,6,6/25/1953
1953,Q3,2705.3,1593.5,---,---,---,---,282.4,---,---,---,---,---,---,---,---,70.6,---,---,98.6,---,---,1073.4,---,---,---,---,-226.1,9,9/25/1953
1953,Q4,2664.3,1582.8,---,---,---,---,262,---,---,---,---,---,---,---,---,68.2,---,---,93.7,---,---,1070.8,---,---,---,---,-217.3,12,12/25/1953
1954,Q1,2651.6,1588.7,---,---,---,---,260.1,---,---,---,---,---,---,---,---,65.2,---,---,88.3,---,---,1042.9,---,---,---,---,-209.4,3,3/25/1954
1954,Q2,2654.5,1609.3,---,---,---,---,259.5,---,---,---,---,---,---,---,---,74.5,---,---,96.2,---,---,1007.6,---,---,---,---,-188,6,6/25/1954
1954,Q3,2684.4,1631.1,---,---,---,---,272,---,---,---,---,---,---,---,---,72.1,---,---,90.4,---,---,985.8,---,---,---,---,-176.4,9,9/25/1954
1954,Q4,2737,1665.3,---,---,---,---,284,---,---,---,---,---,---,---,---,75.5,---,---,91.3,---,---,979.9,---,---,---,---,-172.8,12,12/25/1954
1955,Q1,2815.1,1702.7,---,---,---,---,312.3,---,---,---,---,---,---,---,---,78.3,---,---,96.7,---,---,980.5,---,---,---,---,-176.4,3,3/25/1955
1955,Q2,2860.9,1735.3,---,---,---,---,331.3,---,---,---,---,---,---,---,---,76.4,---,---,102.2,---,---,970.9,---,---,---,---,-172.2,6,6/25/1955
1955,Q3,2899.6,1756.7,---,---,---,---,336.4,---,---,---,---,---,---,---,---,81.5,---,---,103.9,---,---,977.1,---,---,---,---,-167.8,9,9/25/1955
1955,Q4,2917,1778.8,---,---,---,---,344.2,---,---,---,---,---,---,---,---,81.8,---,---,107.7,---,---,957.7,---,---,---,---,-164.8,12,12/25/1955
1956,Q1,2905.7,1781.7,---,---,---,---,334.4,---,---,---,---,---,---,---,---,85.7,---,---,112.2,---,---,957.4,---,---,---,---,-164.1,3,3/25/1956
1956,Q2,2929.7,1787.6,---,---,---,---,331.8,---,---,---,---,---,---,---,---,91.5,---,---,111.6,---,---,976.8,---,---,---,---,-162.1,6,6/25/1956
1956,Q3,2927,1791.6,---,---,---,---,328.8,---,---,---,---,---,---,---,---,94.5,---,---,112.6,---,---,968.2,---,---,---,---,-155.8,9,9/25/1956
1956,Q4,2975.2,1816.3,---,---,---,---,325.7,---,---,---,---,---,---,---,---,98.8,---,---,107.4,---,---,992.8,---,---,---,---,-161.9,12,12/25/1956
1957,Q1,2994.3,1829,---,---,---,---,320.7,---,---,---,---,---,---,---,---,105.2,---,---,115.9,---,---,1014.1,---,---,---,---,-164.6,3,3/25/1957
1957,Q2,2987.7,1832.1,---,---,---,---,320.4,---,---,---,---,---,---,---,---,102.1,---,---,116.8,---,---,1008.9,---,---,---,---,-167.3,6,6/25/1957
1957,Q3,3017,1846.6,---,---,---,---,327.7,---,---,---,---,---,---,---,---,99.2,---,---,114.6,---,---,1017.4,---,---,---,---,-171.8,9,9/25/1957
1957,Q4,2985.8,1847.4,---,---,---,---,302.5,---,---,---,---,---,---,---,---,96.3,---,---,115,---,---,1034.2,---,---,---,---,-168.1,12,12/25/1957
1958,Q1,2908.3,1821.8,---,---,---,---,282.1,---,---,---,---,---,---,---,---,86.7,---,---,116.7,---,---,1025.2,---,---,---,---,-176.6,3,3/25/1958
1958,Q2,2927.4,1836.9,---,---,---,---,276.4,---,---,---,---,---,---,---,---,87.1,---,---,121.7,---,---,1050.8,---,---,---,---,-189.7,6,6/25/1958
1958,Q3,2995.1,1867.4,---,---,---,---,297.6,---,---,---,---,---,---,---,---,87.4,---,---,119.8,---,---,1056.9,---,---,---,---,-200.7,9,9/25/1958
1958,Q4,3065.1,1892.7,---,---,---,---,323,---,---,---,---,---,---,---,---,87.1,---,---,126.1,---,---,1078.2,---,---,---,---,-206.4,12,12/25/1958
1959,Q1,3124,1927.4,---,---,---,---,340.6,---,---,---,---,---,---,---,---,93.4,---,---,129.4,---,---,1067.2,---,---,---,---,-188.8,3,3/25/1959
1959,Q2,3194.4,1957.2,---,---,---,---,367.1,---,---,---,---,---,---,---,---,92.6,---,---,135.7,---,---,1080.4,---,---,---,---,-201.5,6,6/25/1959
1959,Q3,3196.7,1977.6,---,---,---,---,343.4,---,---,---,---,---,---,---,---,101.6,---,---,137,---,---,1089.7,---,---,---,---,-182.6,9,9/25/1959
1959,Q4,3205.8,1979.9,---,---,---,---,354.6,---,---,---,---,---,---,---,---,96.6,---,---,133.6,---,---,1080.7,---,---,---,---,-192.5,12,12/25/1959
1960,Q1,3277.8,1998.8,---,---,---,---,390.2,---,---,---,---,---,---,---,---,109,---,---,138.6,---,---,1062.3,---,---,---,---,-194.1,3,3/25/1960
1960,Q2,3260.2,2024,---,---,---,---,353.8,---,---,---,---,---,---,---,---,112.1,---,---,139.6,---,---,1074.2,---,---,---,---,-178.8,6,6/25/1960
1960,Q3,3276.1,2015.9,---,---,---,---,352.9,---,---,---,---,---,---,---,---,114.6,---,---,135.5,---,---,1100.5,---,---,---,---,-192.6,9,9/25/1960
