Date,PMI,NewOrders,Production,Employment,SupplierDeliveries,Inventories,CustomerInventories,Prices,OrderBacklog,NewExportOrders,Imports,,,,,
1/31/1948,51.7,53.3,59.1,,36.3,45.3,,,,,,,,,,
2/29/1948,50.2,51.1,55.2,,37.1,43.9,,,,,,,,,,
3/31/1948,43.3,43.9,47.8,,32.7,44.5,,69.3,,,,,,,,
4/30/1948,45.4,44.5,49.5,,41.6,46.1,,75.8,,,,,,,,
5/31/1948,49.5,51.2,52.1,,40.4,47.0,,70.8,,,,,,,,
6/30/1948,53.0,58.1,56.8,,38.4,54.7,,78.5,,,,,,,,
7/31/1948,48.4,50.4,51.4,,36.8,51.1,,77.3,,,,,,,,
8/31/1948,45.1,46.0,51.0,,31.2,46.6,,77.0,,,,,,,,
9/30/1948,42.1,40.6,47.9,,28.3,45.2,,66.0,,,,,,,,
10/31/1948,47.2,52.1,52.7,,28.7,45.4,,56.6,,,,,,,,
11/30/1948,42.4,43.2,48.9,,28.0,42.6,,51.0,,,,,,,,
12/31/1948,35.0,34.5,42.1,,17.7,37.0,,47.5,,,,,,,,
1/31/1949,32.9,31.4,42.0,,16.6,36.6,,39.6,,,,,,,,
2/28/1949,31.3,34.2,39.6,,13.1,34.9,,31.3,,,,,,,,
3/31/1949,34.5,42.1,41.9,,12.4,33.3,,31.8,,,,,,,,
4/30/1949,35.5,42.3,44.1,,16.2,27.9,,13.8,,,,,,,,
5/31/1949,32.6,41.1,38.2,,15.5,25.5,,20.1,,,,,,,,
6/30/1949,31.6,39.8,38.4,,15.0,24.1,,10.6,,,,,,,,
7/31/1949,39.0,49.1,47.0,,22.4,21.5,,28.8,,,,,,,,
8/31/1949,47.0,55.7,58.5,,33.0,26.8,,42.7,,,,,,,,
9/30/1949,52.3,58.0,60.3,,39.9,35.8,,47.5,,,,,,,,
10/31/1949,51.0,58.9,54.5,,46.1,40.6,,42.1,,,,,,,,
11/30/1949,51.0,58.7,55.7,,51.5,31.3,,51.1,,,,,,,,
12/31/1949,57.3,53.1,63.3,,52.2,41.7,,49.9,,,,,,,,
1/31/1950,59.1,62.3,64.3,,56.3,43.6,,62.4,,,,,,,,
2/28/1950,60.5,62.5,66.7,,68.0,46.4,,70.9,,,,,,,,
3/31/1950,62.1,61.8,65.8,,72.0,48.8,,77.0,,,,,,,,
4/30/1950,68.1,71.0,74.8,,68.8,50.6,,80.2,,,,,,,,
5/31/1950,74.7,76.6,78.1,,82.9,58.2,,98.2,,,,,,,,
6/30/1950,76.6,82.6,79.1,,76.5,62.1,,100.0,,,,,,,,
7/31/1950,77.5,80.3,77.1,,89.4,62.7,,90.7,,,,,,,,
8/31/1950,75.8,77.1,78.7,,81.7,62.3,,84.8,,,,,,,,
9/30/1950,68.1,66.4,68.6,,73.7,55.2,,84.4,,,,,,,,
10/31/1950,59.2,49.0,62.9,,70.3,50.6,,84.8,,,,,,,,
11/30/1950,63.1,57.2,63.6,,79.1,48.3,,85.1,,,,,,,,
12/31/1950,67.1,67.7,62.5,,87.5,49.7,,91.1,,,,,,,,
1/31/1951,67.8,67.9,63.0,,88.7,48.0,,85.1,,,,,,,,
2/28/1951,69.3,70.0,61.4,,93.3,42.1,,86.5,,,,,,,,
3/31/1951,65.5,61.0,61.2,,85.1,47.4,,76.6,,,,,,,,
4/30/1951,53.5,42.3,53.5,,65.7,51.8,,68.5,,,,,,,,
5/31/1951,50.7,45.2,54.2,,45.0,51.2,,63.6,,,,,,,,
6/30/1951,45.5,39.1,48.6,,36.7,48.4,,52.1,,,,,,,,
7/31/1951,42.1,38.2,41.6,,32.2,47.8,,46.4,,,,,,,,
8/31/1951,43.6,38.5,48.4,,32.0,46.7,,43.2,,,,,,,,
9/30/1951,48.1,48.2,50.2,,46.4,43.8,,45.7,,,,,,,,
10/31/1951,49.6,51.7,50.3,51.1,47.2,55.4,,54.4,,,,,,,,
11/30/1951,47.2,49.3,50.9,50.2,34.9,55.4,,55.6,,,,,,,,
12/31/1951,46.5,45.3,52.8,51.8,33.6,52.2,,56.6,,,,,,,,
1/31/1952,44.7,46.8,49.5,46.9,31.3,52.2,,51.8,,,,,,,,
2/29/1952,41.8,42.3,49.9,44.8,24.9,56.1,,52.7,,,,,,,,
3/31/1952,40.0,43.7,48.7,41.8,18.8,56.1,,44.7,,,,,,,,
4/30/1952,36.7,35.8,43.5,43.3,19.4,57.2,,42.6,,,,,,,,
5/31/1952,39.5,43.9,45.7,42.7,22.4,57.2,,38.8,,,,,,,,
6/30/1952,43.3,46.3,49.5,43.5,33.0,57.5,,40.4,,,,,,,,
7/31/1952,48.3,69.4,37.2,39.5,47.4,57.5,,60.1,,,,,,,,
8/31/1952,60.4,58.5,84.0,63.1,41.2,60.3,,54.7,,,,,,,,
9/30/1952,56.1,60.3,66.0,56.2,42.7,60.3,,57.9,,,,,,,,
10/31/1952,56.2,59.9,65.3,57.8,43.3,58.4,,54.1,,,,,,,,
11/30/1952,56.8,58.8,65.0,60.9,45.0,58.4,,49.7,,,,,,,,
12/31/1952,55.8,60.4,64.3,55.6,43.5,51.5,,48.2,,,,,,,,
1/31/1953,59.4,64.6,69.8,61.5,41.5,51.5,,45.1,,,,,,,,
2/28/1953,55.4,56.0,62.4,61.7,41.8,52.1,,54.5,,,,,,,,
3/31/1953,50.5,47.2,54.0,59.4,41.8,52.1,,73.3,,,,,,,,
4/30/1953,51.1,52.0,57.3,55.0,38.6,53.1,,69.3,,,,,,,,
5/31/1953,48.9,49.3,57.1,52.3,35.1,53.1,,72.3,,,,,,,,
6/30/1953,48.5,48.3,55.2,53.8,33.3,53.6,,69.7,,,,,,,,
7/31/1953,46.3,44.2,53.1,54.4,28.5,53.6,,62.0,,,,,,,,
8/31/1953,43.5,42.1,50.7,48.1,26.5,44.6,,55.8,,,,,,,,
9/30/1953,40.2,39.9,46.8,43.8,23.2,44.6,,43.8,,,,,,,,
10/31/1953,37.4,38.0,44.6,37.9,20.7,54.3,,45.1,,,,,,,,
11/30/1953,36.9,40.9,43.4,35.8,20.2,54.3,,47.0,,,,,,,,
12/31/1953,35.6,37.5,41.3,36.6,21.8,53.9,,47.7,,,,,,,,
1/31/1954,37.4,42.9,45.0,31.5,23.6,53.9,,40.5,,,,,,,,
