"Table 2.8.6. Real Personal Consumption Expenditures by Major Type of Product, Monthly, Chained Dollars"
"[Billions of chained (2012) dollars; seasonally adjusted at annual rates]" 
"Bureau of Economic Analysis" 
"Last Revised on: November 24, 2021 - Next Release Date December 23, 2021"
"Line","","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2012","2012","2012","2012","2012","2012","2012","2012","2012","2012","2012","2012","2013","2013","2013","2013","2013","2013","2013","2013","2013","2013","2013","2013","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2020","2020","2020","2020","2020","2020","2020","2020","2020","2020","2020","2020","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021"
"Line","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT"
"1","        Personal consumption expenditures (PCE)",9004.4,9040.1,9038.2,9086.5,9051.4,9081.8,9142.0,9155.3,9112.9,9150.1,9176.2,9236.3,9235.0,9205.2,9258.1,9301.9,9331.8,9381.8,9424.1,9507.6,9479.9,9495.2,9549.7,9562.3,9593.4,9612.9,9667.7,9659.9,9710.8,9660.9,9745.7,9781.8,9845.0,9868.2,9885.9,9950.6,9929.9,9973.8,9989.7,10054.6,10040.9,10129.2,10202.0,10156.7,10116.8,10144.0,10174.0,10213.7,10266.7,10288.1,10309.8,10328.1,10345.4,10351.1,10409.6,10375.0,10439.3,10484.5,10488.2,10549.0,10569.9,10567.2,10579.1,10589.2,10604.8,10605.3,10637.6,10682.5,10691.5,10699.9,10722.3,10715.5,10713.7,10676.6,10703.3,10720.7,10740.6,10720.8,10669.1,10667.9,10597.0,10580.7,10548.3,10517.6,10565.4,10522.2,10478.7,10463.0,10472.6,10475.5,10510.4,10604.9,10507.1,10518.9,10502.2,10566.4,10547.0,10586.5,10637.1,10658.8,10685.3,10711.3,10740.7,10766.6,10776.8,10804.2,10831.7,10846.0,10858.2,10855.2,10892.7,10879.8,10867.3,10892.5,10911.4,10904.8,10922.8,10942.5,10924.1,10929.0,10971.2,11037.6,11023.2,11033.4,11034.1,11022.6,11045.7,11047.9,11063.5,11062.7,11110.9,11115.5,11158.1,11153.4,11155.0,11154.2,11182.3,11181.4,11195.4,11207.9,11239.9,11271.4,11318.7,11322.9,11287.0,11350.3,11405.6,11424.5,11444.9,11489.7,11512.3,11590.9,11593.8,11665.2,11696.3,11723.2,11747.2,11773.3,11798.4,11826.4,11859.5,11872.0,11917.6,11948.3,11963.2,11970.7,11997.4,12041.4,12053.8,12133.3,12086.4,12122.9,12141.9,12193.1,12206.2,12216.0,12249.3,12242.7,12262.4,12344.1,12347.6,12355.4,12413.8,12416.5,12420.9,12452.8,12470.1,12483.5,12547.7,12555.2,12627.6,12713.2,12687.7,12696.1,12739.1,12786.0,12821.0,12842.2,12878.0,12918.1,12905.7,12960.5,13014.0,12892.0,12948.5,12948.2,13028.8,13055.6,13086.5,13124.2,13161.9,13199.4,13215.4,13223.1,13266.6,13257.2,13307.3,13313.2,12422.9,10910.6,11833.0,12525.6,12706.4,12793.5,12962.5,13015.6,12943.5,12824.6,13201.3,13025.4,13621.3,13684.0,13616.2,13696.6,13647.4,13742.9,13780.9,13876.9
"2","Goods",2908.5,2930.7,2922.2,2947.6,2906.1,2932.2,2967.4,2983.5,2943.5,2946.1,2970.7,3013.0,2994.1,2970.4,3014.4,3040.8,3047.1,3086.7,3107.3,3173.0,3152.3,3147.7,3187.6,3182.1,3192.5,3192.5,3239.7,3214.0,3253.5,3190.4,3239.4,3260.6,3293.2,3295.4,3295.8,3333.2,3320.9,3342.2,3337.2,3384.3,3353.2,3410.6,3467.2,3412.8,3364.8,3394.7,3404.6,3423.9,3486.0,3476.3,3472.5,3484.7,3478.9,3486.4,3522.2,3489.2,3530.5,3551.3,3545.7,3592.6,3594.2,3578.2,3592.2,3588.3,3609.1,3592.5,3612.1,3614.1,3631.6,3630.3,3631.4,3617.5,3589.6,3547.2,3563.7,3562.1,3572.7,3549.6,3506.9,3517.5,3436.1,3402.4,3380.6,3358.6,3408.9,3389.8,3345.5,3343.4,3370.4,3365.1,3396.4,3478.1,3380.2,3393.2,3394.8,3411.7,3399.4,3412.8,3464.2,3474.3,3463.1,3479.2,3482.4,3499.2,3513.3,3538.7,3551.4,3550.7,3565.3,3556.3,3572.3,3565.2,3535.6,3553.6,3548.9,3542.9,3566.4,3580.6,3574.7,3580.0,3606.3,3641.1,3623.9,3624.3,3627.8,3617.2,3626.2,3643.6,3647.4,3638.5,3672.5,3683.9,3737.6,3729.1,3717.2,3715.1,3742.1,3734.8,3756.0,3748.3,3767.9,3778.8,3801.1,3798.6,3766.0,3831.0,3857.2,3874.8,3881.1,3904.2,3914.4,3944.4,3935.6,3962.1,3988.1,4002.8,4015.0,4022.8,4058.2,4062.6,4079.1,4082.4,4110.2,4123.9,4127.1,4109.1,4141.7,4158.6,4155.3,4202.8,4175.5,4187.0,4205.9,4250.2,4250.6,4254.5,4262.5,4263.6,4257.1,4315.6,4302.9,4317.4,4326.1,4352.3,4350.2,4380.7,4383.9,4394.2,4446.8,4448.5,4499.6,4540.1,4501.7,4517.0,4516.9,4539.1,4582.0,4555.3,4581.0,4600.5,4592.7,4616.1,4673.7,4555.9,4618.3,4608.5,4664.9,4689.5,4708.2,4729.7,4750.6,4774.3,4771.5,4774.8,4792.6,4793.3,4806.6,4804.0,4759.9,4180.7,4771.7,5045.0,5129.0,5124.3,5223.6,5235.5,5173.4,5056.1,5421.0,5242.9,5766.0,5740.6,5589.1,5610.5,5473.3,5539.1,5559.9,5615.2
"3","    Durable goods",797.9,813.1,807.4,830.1,798.3,805.1,834.2,850.7,821.5,811.2,821.4,851.0,833.2,813.4,839.3,858.1,865.1,875.6,886.5,920.4,907.0,905.9,923.5,923.6,919.8,934.3,947.0,932.2,958.9,917.4,949.8,956.6,974.4,971.5,972.2,991.7,970.0,986.2,993.1,1013.7,988.3,1025.9,1071.9,1019.5,995.7,983.9,999.6,1011.1,1047.6,1028.1,1037.9,1037.8,1035.6,1041.5,1058.7,1038.2,1062.5,1064.4,1063.3,1076.4,1085.5,1077.9,1083.8,1088.9,1105.2,1087.1,1092.9,1108.8,1119.7,1125.8,1116.8,1103.6,1092.0,1075.1,1070.9,1071.0,1078.0,1066.0,1037.0,1052.8,1016.7,973.5,954.0,950.4,977.9,961.7,943.4,937.7,958.3,966.0,984.7,1054.8,961.5,966.2,978.9,985.1,971.4,973.9,1020.7,1018.8,1017.4,1023.3,1031.2,1036.5,1039.9,1064.3,1063.0,1067.3,1071.4,1068.9,1082.2,1075.6,1065.0,1059.2,1068.7,1069.4,1090.1,1102.7,1097.5,1105.4,1119.4,1136.1,1130.8,1133.1,1129.8,1129.8,1136.3,1142.2,1158.3,1148.6,1177.2,1189.0,1203.2,1205.0,1196.8,1202.7,1209.1,1209.4,1216.2,1217.0,1218.7,1224.1,1236.9,1230.0,1216.2,1251.4,1282.2,1281.4,1294.9,1308.0,1308.0,1321.1,1325.9,1330.8,1346.5,1352.6,1357.1,1358.2,1387.1,1392.6,1397.7,1399.0,1409.9,1421.9,1414.1,1408.4,1428.3,1433.1,1429.3,1456.3,1439.7,1442.3,1449.2,1476.9,1489.0,1489.6,1499.0,1506.5,1497.5,1536.1,1519.5,1526.8,1524.9,1533.8,1534.4,1552.2,1565.7,1562.7,1600.2,1609.3,1637.9,1652.8,1635.7,1654.1,1653.6,1666.7,1680.8,1681.3,1685.9,1697.8,1692.4,1699.1,1727.8,1663.2,1677.5,1681.0,1722.1,1726.0,1740.7,1745.8,1760.7,1770.8,1787.9,1775.7,1802.5,1805.8,1815.5,1811.0,1588.5,1419.6,1810.5,1965.1,2015.9,2025.8,2050.1,2074.7,2044.4,1990.2,2210.1,2116.8,2433.6,2421.1,2279.2,2248.4,2157.0,2156.9,2164.6,2208.3
"4","    Nondurable goods",2147.4,2148.9,2148.3,2141.5,2143.8,2163.7,2158.5,2151.0,2150.4,2169.8,2182.4,2185.0,2191.0,2193.9,2205.1,2206.8,2203.1,2232.9,2240.0,2264.6,2260.9,2257.2,2276.8,2270.3,2287.9,2266.7,2301.9,2294.5,2300.6,2289.0,2297.9,2312.1,2323.4,2330.2,2329.7,2344.2,2361.1,2362.0,2346.8,2370.7,2371.5,2383.5,2383.6,2394.8,2374.0,2422.2,2412.2,2418.0,2437.8,2453.2,2435.9,2449.4,2445.9,2446.4,2463.0,2453.6,2467.1,2487.3,2482.6,2516.6,2506.5,2498.9,2506.4,2495.7,2497.8,2502.5,2516.3,2498.9,2504.3,2495.9,2508.2,2509.4,2493.9,2469.5,2491.8,2490.3,2493.4,2483.0,2471.4,2465.0,2421.3,2435.3,2435.5,2416.7,2437.1,2436.4,2411.3,2415.9,2419.9,2405.4,2416.6,2421.7,2425.9,2434.2,2421.3,2431.9,2434.5,2445.5,2446.2,2458.8,2448.7,2458.9,2453.4,2464.9,2475.6,2475.1,2489.6,2484.3,2494.8,2488.3,2490.6,2490.5,2471.5,2495.9,2481.2,2474.4,2476.9,2478.3,2477.6,2474.9,2487.0,2505.0,2493.1,2491.2,2498.0,2487.4,2489.8,2501.2,2489.1,2489.8,2495.5,2495.1,2534.7,2524.5,2520.7,2512.8,2533.3,2525.8,2540.2,2531.8,2549.5,2555.1,2564.6,2568.8,2549.8,2580.1,2576.5,2594.6,2587.9,2598.1,2608.2,2625.3,2612.1,2633.6,2644.3,2652.8,2660.5,2667.3,2674.4,2673.5,2684.9,2686.9,2703.8,2705.9,2716.5,2704.2,2717.3,2729.4,2729.9,2750.7,2739.7,2748.5,2760.5,2777.8,2766.6,2769.9,2768.9,2762.8,2764.8,2786.1,2789.1,2796.5,2806.7,2824.1,2821.5,2834.7,2825.5,2838.2,2855.1,2848.6,2872.2,2897.9,2876.3,2874.6,2875.0,2884.8,2913.5,2887.5,2908.0,2916.3,2913.5,2930.1,2960.0,2903.9,2951.1,2938.5,2956.4,2976.6,2981.7,2997.8,3004.8,3018.6,3001.1,3014.9,3008.7,3006.6,3010.9,3012.3,3162.2,2756.9,2982.1,3108.4,3144.1,3130.9,3204.7,3194.6,3161.7,3096.9,3253.9,3164.7,3389.3,3375.1,3354.4,3402.2,3351.9,3415.6,3428.9,3443.1
"5","Services",6106.6,6118.5,6126.4,6148.0,6159.0,6160.9,6183.7,6179.1,6180.3,6216.1,6215.4,6230.2,6250.0,6245.6,6251.1,6266.9,6291.0,6298.9,6320.0,6333.8,6327.9,6348.8,6361.4,6380.4,6401.2,6421.3,6426.3,6446.3,6455.7,6473.2,6507.1,6521.2,6550.8,6572.3,6590.2,6616.1,6608.0,6630.2,6651.8,6667.7,6687.1,6715.9,6729.5,6741.6,6752.6,6748.0,6768.1,6788.2,6776.3,6808.4,6834.5,6840.2,6864.0,6861.9,6883.6,6883.2,6905.1,6929.3,6938.8,6951.9,6971.3,6985.1,6982.7,6997.0,6991.2,7008.9,7021.3,7064.5,7055.7,7065.5,7086.9,7094.4,7121.4,7127.6,7137.5,7156.6,7165.8,7169.7,7161.8,7149.2,7161.8,7179.7,7168.7,7159.5,7157.3,7132.9,7133.1,7119.4,7102.2,7110.2,7113.7,7126.4,7126.7,7125.5,7107.1,7154.4,7147.4,7173.6,7172.9,7184.7,7222.3,7232.2,7258.3,7267.5,7263.8,7265.9,7280.7,7295.6,7293.1,7299.1,7320.6,7314.7,7332.0,7339.0,7362.8,7362.1,7356.4,7361.8,7349.4,7349.0,7364.8,7396.3,7399.2,7409.1,7406.2,7405.3,7419.5,7404.3,7416.1,7424.2,7438.5,7431.9,7421.3,7425.0,7438.2,7439.5,7441.1,7447.3,7440.5,7460.4,7473.1,7493.6,7518.8,7525.2,7521.2,7521.3,7550.8,7552.6,7566.7,7588.9,7601.5,7650.2,7661.3,7706.4,7712.5,7725.2,7737.3,7755.5,7747.8,7771.0,7788.0,7797.3,7816.2,7833.5,7845.0,7868.2,7865.0,7892.3,7907.1,7941.7,7920.6,7945.5,7947.2,7957.6,7969.9,7975.8,8000.6,7993.4,8017.7,8045.3,8059.4,8054.4,8102.4,8082.7,8088.5,8093.1,8106.7,8110.7,8127.2,8132.9,8158.4,8205.4,8213.5,8208.7,8249.4,8275.1,8272.4,8314.5,8326.9,8348.6,8343.5,8375.8,8378.8,8360.6,8362.9,8370.5,8400.1,8405.1,8418.8,8436.6,8454.7,8470.6,8487.6,8491.8,8517.8,8508.1,8543.5,8550.4,7759.4,6814.4,7205.7,7631.9,7733.0,7817.1,7895.4,7935.2,7917.1,7898.6,7961.9,7938.8,8079.6,8157.3,8214.0,8271.5,8335.2,8371.7,8390.6,8435.7
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","    PCE excluding food and energy",7663.0,7690.4,7676.9,7729.7,7677.4,7707.8,7759.0,7777.7,7739.3,7761.0,7785.5,7846.6,7836.4,7812.6,7876.5,7899.0,7941.7,7996.0,8024.0,8092.6,8076.2,8084.7,8133.6,8148.4,8163.2,8189.9,8250.8,8231.4,8282.4,8239.4,8322.8,8356.9,8405.4,8426.1,8443.2,8501.8,8470.5,8522.1,8523.1,8593.3,8575.9,8657.2,8723.0,8673.4,8650.5,8668.5,8703.2,8729.0,8826.4,8807.3,8830.2,8847.7,8848.8,8863.6,8892.3,8881.1,8946.2,8970.0,8991.2,9054.3,9054.9,9038.4,9081.7,9065.2,9111.6,9106.9,9130.6,9172.9,9181.6,9210.1,9215.5,9206.3,9216.2,9185.5,9196.4,9229.6,9254.9,9241.6,9210.5,9218.8,9160.6,9119.1,9079.3,9061.0,9093.1,9065.8,9006.2,8996.1,9004.8,9010.3,9049.0,9130.9,9031.6,9030.0,9043.0,9065.2,9060.5,9088.6,9164.6,9186.8,9198.0,9219.8,9248.1,9271.0,9282.5,9315.5,9329.0,9326.2,9358.1,9375.1,9407.7,9400.4,9395.4,9409.2,9417.4,9424.1,9447.4,9460.6,9452.0,9464.7,9518.6,9569.1,9572.1,9556.6,9544.7,9539.3,9549.9,9557.1,9588.2,9576.7,9632.2,9655.0,9671.5,9659.3,9645.4,9661.4,9687.1,9690.7,9705.8,9719.0,9739.1,9770.2,9797.3,9801.9,9756.0,9819.9,9889.4,9904.6,9938.5,9985.1,10012.9,10077.8,10085.1,10140.5,10155.6,10196.1,10201.4,10203.4,10248.8,10283.5,10315.4,10324.9,10368.5,10397.8,10403.6,10425.6,10453.3,10493.9,10492.8,10563.3,10531.8,10550.3,10558.7,10599.6,10614.2,10618.7,10656.9,10660.9,10682.3,10733.4,10773.8,10777.8,10811.4,10806.2,10806.2,10835.0,10857.8,10870.4,10920.8,10927.1,10997.6,11044.0,11033.5,11075.1,11083.4,11123.7,11166.3,11190.1,11227.1,11261.0,11251.1,11291.0,11329.8,11237.1,11279.4,11296.5,11366.4,11384.3,11417.8,11453.2,11477.1,11505.3,11531.7,11536.0,11573.3,11587.7,11649.3,11646.4,10607.0,9311.0,10156.2,10827.1,10982.6,11087.3,11239.4,11306.7,11243.4,11131.6,11449.8,11293.5,11828.0,11900.4,11833.3,11891.7,11864.6,11926.6,11975.5,12077.2
"7","    Food1",739.1,739.6,741.9,736.4,743.6,745.2,747.6,744.6,742.3,747.4,753.2,753.3,757.3,757.4,757.0,758.4,752.6,757.5,765.1,769.1,768.9,767.4,768.4,763.2,775.9,770.2,775.5,776.4,774.0,773.2,775.3,778.9,787.6,786.3,787.7,792.8,798.5,802.8,802.0,803.0,801.2,808.1,806.1,811.8,815.3,821.1,819.5,821.3,819.0,828.8,824.8,830.0,834.8,831.7,833.7,836.1,832.2,842.1,842.2,852.7,849.9,846.8,844.9,841.8,843.0,843.8,847.4,840.8,842.6,842.6,846.8,851.8,845.3,839.7,842.3,840.8,841.6,838.4,832.0,828.5,818.9,815.8,816.1,812.2,821.6,815.1,816.4,820.6,825.6,822.5,825.6,825.7,832.4,832.8,829.4,836.4,832.0,846.6,836.7,837.0,834.6,832.3,832.1,836.5,838.8,837.7,845.3,842.8,844.5,843.9,838.1,844.8,835.7,841.0,839.5,838.3,833.9,836.9,838.8,832.6,839.3,841.1,844.3,846.1,847.3,845.8,848.2,845.7,848.4,851.1,848.9,848.1,849.3,856.1,851.3,845.6,853.3,851.2,855.5,855.5,859.2,858.5,862.4,868.6,869.3,869.0,866.3,867.3,866.1,872.4,871.8,872.7,872.4,876.5,876.0,876.5,879.4,880.4,884.3,882.7,883.6,884.4,886.8,884.8,888.3,880.0,888.9,894.1,893.5,899.7,896.7,905.2,911.8,918.1,915.1,917.9,919.2,925.4,925.5,929.9,934.3,933.0,938.1,940.1,937.6,944.7,941.8,948.0,953.4,952.9,958.1,968.9,961.0,961.2,964.1,962.7,972.5,963.5,967.5,968.6,969.2,972.9,978.7,966.2,980.8,957.7,973.3,983.2,981.8,990.4,1000.5,1001.5,991.6,992.7,993.5,998.0,995.3,992.0,1213.1,1042.3,1067.4,1059.7,1073.6,1059.1,1067.6,1059.6,1066.9,1047.0,1104.4,1078.1,1127.3,1116.9,1106.3,1113.1,1095.2,1123.2,1119.5,1118.9
