Year,Month,        Personal consumption expenditures (PCE),Goods,    Durable goods,    Nondurable goods,Services,Addenda:,    PCE excluding food and energy,    Food1,    Energy goods and services2,    Market-based PCE3,    Market-based PCE excluding food and energy3,Month,Date
2002,JAN,9004.4,2908.5,797.9,2147.4,6106.6,,7663,739.1,612.9,7966.1,6624.9,1,1/25/2002
2002,FEB,9040.1,2930.7,813.1,2148.9,6118.5,,7690.4,739.6,625,8002.1,6652.4,2,2/25/2002
2002,MAR,9038.2,2922.2,807.4,2148.3,6126.4,,7676.9,741.9,642.6,8005.2,6643.7,3,3/25/2002
2002,APR,9086.5,2947.6,830.1,2141.5,6148,,7729.7,736.4,640.4,8045,6688.2,4,4/25/2002
2002,MAY,9051.4,2906.1,798.3,2143.8,6159,,7677.4,743.6,660.5,8013.9,6640,5,5/25/2002
2002,JUN,9081.8,2932.2,805.1,2163.7,6160.9,,7707.8,745.2,656.3,8050.1,6675.7,6,6/25/2002
2002,JUL,9142,2967.4,834.2,2158.5,6183.7,,7759,747.6,664.4,8105.6,6722.1,7,7/25/2002
2002,AUG,9155.3,2983.5,850.7,2151,6179.1,,7777.7,744.6,659,8117.7,6739.6,8,8/25/2002
2002,SEP,9112.9,2943.5,821.5,2150.4,6180.3,,7739.3,742.3,658.1,8075.7,6701.8,9,9/25/2002
2002,OCT,9150.1,2946.1,811.2,2169.8,6216.1,,7761,747.4,674.1,8098.3,6709.3,10,10/25/2002
2002,NOV,9176.2,2970.7,821.4,2182.4,6215.4,,7785.5,753.2,666.3,8120.8,6730.2,11,11/25/2002
2002,DEC,9236.3,3013,851,2185,6230.2,,7846.6,753.3,660.8,8170.5,6781,12,12/25/2002
2003,JAN,9235,2994.1,833.2,2191,6250,,7836.4,757.3,669,8160.7,6762.6,1,1/25/2003
2003,FEB,9205.2,2970.4,813.4,2193.9,6245.6,,7812.6,757.4,660.7,8136.2,6744,2,2/25/2003
2003,MAR,9258.1,3014.4,839.3,2205.1,6251.1,,7876.5,757,642.7,8187.2,6805.7,3,3/25/2003
2003,APR,9301.9,3040.8,858.1,2206.8,6266.9,,7899,758.4,671.4,8233.9,6830.9,4,4/25/2003
2003,MAY,9331.8,3047.1,865.1,2203.1,6291,,7941.7,752.6,658.2,8255.5,6865.4,5,5/25/2003
2003,JUN,9381.8,3086.7,875.6,2232.9,6298.9,,7996,757.5,640.8,8300.6,6914.9,6,6/25/2003
2003,JUL,9424.1,3107.3,886.5,2240,6320,,8024,765.1,650.8,8340.8,6940.5,7,7/25/2003
2003,AUG,9507.6,3173,920.4,2264.6,6333.8,,8092.6,769.1,664.3,8426.9,7011.5,8,8/25/2003
2003,SEP,9479.9,3152.3,907,2260.9,6327.9,,8076.2,768.9,648.4,8407,7002.6,9,9/25/2003
2003,OCT,9495.2,3147.7,905.9,2257.2,6348.8,,8084.7,767.4,660.5,8418.8,7007.7,10,10/25/2003
2003,NOV,9549.7,3187.6,923.5,2276.8,6361.4,,8133.6,768.4,665.2,8472.5,7055.6,11,11/25/2003
2003,DEC,9562.3,3182.1,923.6,2270.3,6380.4,,8148.4,763.2,668.7,8484.5,7069.9,12,12/25/2003
2004,JAN,9593.4,3192.5,919.8,2287.9,6401.2,,8163.2,775.9,674.1,8507.4,7076.6,1,1/25/2004
2004,FEB,9612.9,3192.5,934.3,2266.7,6421.3,,8189.9,770.2,670.4,8518.6,7095.2,2,2/25/2004
2004,MAR,9667.7,3239.7,947,2301.9,6426.3,,8250.8,775.5,651.9,8565.3,7148,3,3/25/2004
2004,APR,9659.9,3214,932.2,2294.5,6446.3,,8231.4,776.4,668.3,8562.3,7133.3,4,4/25/2004
2004,MAY,9710.8,3253.5,958.9,2300.6,6455.7,,8282.4,774,669.5,8609,7180.1,5,5/25/2004
2004,JUN,9660.9,3190.4,917.4,2289,6473.2,,8239.4,773.2,662.4,8555.6,7133.9,6,6/25/2004
2004,JUL,9745.7,3239.4,949.8,2297.9,6507.1,,8322.8,775.3,658.8,8630.9,7207.7,7,7/25/2004
2004,AUG,9781.8,3260.6,956.6,2312.1,6521.2,,8356.9,778.9,655.3,8657.9,7233,8,8/25/2004
2004,SEP,9845,3293.2,974.4,2323.4,6550.8,,8405.4,787.6,662.6,8720.1,7280.3,9,9/25/2004
2004,OCT,9868.2,3295.4,971.5,2330.2,6572.3,,8426.1,786.3,667.1,8740.9,7298.5,10,10/25/2004
2004,NOV,9885.9,3295.8,972.2,2329.7,6590.2,,8443.2,787.7,665.6,8755.4,7312.5,11,11/25/2004
2004,DEC,9950.6,3333.2,991.7,2344.2,6616.1,,8501.8,792.8,665.6,8820.1,7370.9,12,12/25/2004
2005,JAN,9929.9,3320.9,970,2361.1,6608,,8470.5,798.5,673.6,8802.6,7342.8,1,1/25/2005
2005,FEB,9973.8,3342.2,986.2,2362,6630.2,,8522.1,802.8,656.2,8833.9,7381.9,2,2/25/2005
2005,MAR,9989.7,3337.2,993.1,2346.8,6651.8,,8523.1,802,677,8852.5,7385.5,3,3/25/2005
2005,APR,10054.6,3384.3,1013.7,2370.7,6667.7,,8593.3,803,666.7,8913.3,7451.6,4,4/25/2005
2005,MAY,10040.9,3353.2,988.3,2371.5,6687.1,,8575.9,801.2,674.4,8899.6,7434.2,5,5/25/2005
2005,JUN,10129.2,3410.6,1025.9,2383.5,6715.9,,8657.2,808.1,672.3,8980.4,7508,6,6/25/2005
2005,JUL,10202,3467.2,1071.9,2383.6,6729.5,,8723,806.1,681.6,9052.5,7573,7,7/25/2005
2005,AUG,10156.7,3412.8,1019.5,2394.8,6741.6,,8673.4,811.8,681.1,9002.4,7518.8,8,8/25/2005
2005,SEP,10116.8,3364.8,995.7,2374,6752.6,,8650.5,815.3,658.5,8960.6,7494.1,9,9/25/2005
2005,OCT,10144,3394.7,983.9,2422.2,6748,,8668.5,821.1,662,8982,7506.3,10,10/25/2005
2005,NOV,10174,3404.6,999.6,2412.2,6768.1,,8703.2,819.5,657.9,9001.8,7530.9,11,11/25/2005
2005,DEC,10213.7,3423.9,1011.1,2418,6788.2,,8729,821.3,671.6,9038.3,7553.5,12,12/25/2005
2006,JAN,10266.7,3486,1047.6,2437.8,6776.3,,8826.4,819,621.7,9079.6,7639.4,1,1/25/2006
