Series Description,"Market yield on U.S. Treasury securities at 3-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 2-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 5-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 5-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 30-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 30-year^  constant maturity, quoted on investment basis,^  inflation-indexed"
Unit:,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year
Multiplier:,1,1,1,1,1,1,1,1
Currency:,NA,NA,NA,NA,NA,NA,NA,NA
Unique Identifier: ,H15/H15/RIFLGFCM03_N.B,H15/H15/RIFLGFCY02_N.B,H15/H15/RIFLGFCY05_N.B,H15/H15/RIFLGFCY05_XII_N.B,H15/H15/RIFLGFCY10_N.B,H15/H15/RIFLGFCY10_XII_N.B,H15/H15/RIFLGFCY30_N.B,H15/H15/RIFLGFCY30_XII_N.B
Time Period,RIFLGFCM03_N.B,RIFLGFCY02_N.B,RIFLGFCY05_N.B,RIFLGFCY05_XII_N.B,RIFLGFCY10_N.B,RIFLGFCY10_XII_N.B,RIFLGFCY30_N.B,RIFLGFCY30_XII_N.B
1/4/1954,,,,,,,,
1/5/1954,,,,,,,,
1/6/1954,,,,,,,,
1/7/1954,,,,,,,,
1/8/1954,,,,,,,,
1/11/1954,,,,,,,,
1/12/1954,,,,,,,,
1/13/1954,,,,,,,,
1/14/1954,,,,,,,,
1/15/1954,,,,,,,,
1/18/1954,,,,,,,,
1/19/1954,,,,,,,,
1/20/1954,,,,,,,,
1/21/1954,,,,,,,,
1/22/1954,,,,,,,,
1/25/1954,,,,,,,,
1/26/1954,,,,,,,,
1/27/1954,,,,,,,,
1/28/1954,,,,,,,,
1/29/1954,,,,,,,,
2/1/1954,,,,,,,,
2/2/1954,,,,,,,,
2/3/1954,,,,,,,,
2/4/1954,,,,,,,,
2/5/1954,,,,,,,,
2/8/1954,,,,,,,,
2/9/1954,,,,,,,,
2/10/1954,,,,,,,,
2/11/1954,,,,,,,,
2/12/1954,,,,,,,,
2/15/1954,,,,,,,,
2/16/1954,,,,,,,,
2/17/1954,,,,,,,,
2/18/1954,,,,,,,,
2/19/1954,,,,,,,,
2/22/1954,,,,,,,,
2/23/1954,,,,,,,,
2/24/1954,,,,,,,,
2/25/1954,,,,,,,,
2/26/1954,,,,,,,,
3/1/1954,,,,,,,,
3/2/1954,,,,,,,,
3/3/1954,,,,,,,,
3/4/1954,,,,,,,,
3/5/1954,,,,,,,,
3/8/1954,,,,,,,,
3/9/1954,,,,,,,,
3/10/1954,,,,,,,,
3/11/1954,,,,,,,,
3/12/1954,,,,,,,,
3/15/1954,,,,,,,,
3/16/1954,,,,,,,,
3/17/1954,,,,,,,,
3/18/1954,,,,,,,,
3/19/1954,,,,,,,,
3/22/1954,,,,,,,,
3/23/1954,,,,,,,,
3/24/1954,,,,,,,,
3/25/1954,,,,,,,,
3/26/1954,,,,,,,,
3/29/1954,,,,,,,,
3/30/1954,,,,,,,,
3/31/1954,,,,,,,,
4/1/1954,,,,,,,,
4/2/1954,,,,,,,,
4/5/1954,,,,,,,,
4/6/1954,,,,,,,,
4/7/1954,,,,,,,,
4/8/1954,,,,,,,,
4/9/1954,,,,,,,,
4/12/1954,,,,,,,,
4/13/1954,,,,,,,,
4/14/1954,,,,,,,,
4/15/1954,,,,,,,,
4/16/1954,,,,,,,,
4/19/1954,,,,,,,,
4/20/1954,,,,,,,,
4/21/1954,,,,,,,,
4/22/1954,,,,,,,,
4/23/1954,,,,,,,,
4/26/1954,,,,,,,,
4/27/1954,,,,,,,,
4/28/1954,,,,,,,,
