Date,Open,High,Low,Close,Adj_Close,Volume,pct_dif_1,price_days,atr_pct,volume_pct,volume_days,ten_3mo,ten_two,thirty_five,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,x,y,class
10/1/1993,458.93,461.48,458.35,461.28,461.28,256880000,0.00509452,3,0.007307926,0.004703191,1,2.36,1.5,1.26,0.13,0.24,0.49,0.34,0.54,0.31,0.31,0.78,-0.14,-1.3316272,0.38364798,0
10/4/1993,461.28,461.8,460.02,461.34,461.34,229380000,0.000130056,1,0.007267959,-0.102513104,1,2.32,1.49,1.28,0.15,0.18,0.5,0.31,0.55,0.33,0.3,0.76,-0.11,-1.3080798,0.40559614,0
10/5/1993,461.34,463.15,459.45,461.2,461.2,294570000,-0.000303556,1,0.007224631,0.145660747,2,2.29,1.49,1.29,0.14,0.18,0.48,0.32,0.54,0.33,0.3,0.77,-0.11,-1.3092093,0.38448176,0
10/6/1993,461.24,462.6,460.26,460.74,460.74,277070000,-0.000998394,1,0.006967053,0.074787473,1,2.31,1.5,1.31,0.15,0.17,0.49,0.31,0.54,0.35,0.3,0.77,-0.11,-1.3191425,0.38575155,0
10/7/1993,460.71,461.13,459.08,459.18,459.18,255210000,-0.003397361,1,0.006893811,-0.007300387,1,2.28,1.5,1.32,0.12,0.18,0.48,0.32,0.54,0.36,0.28,0.78,-0.1,-1.305012,0.4223896,0
10/8/1993,459.18,460.99,456.4,460.31,460.31,243600000,0.002454867,2,0.006900784,-0.050354103,1,2.21,1.48,1.31,0.11,0.17,0.45,0.31,0.52,0.35,0.3,0.76,-0.1,-1.1794455,0.5690418,0
10/12/1993,461.04,462.47,460.73,461.12,461.12,263970000,0.000520472,1,0.006608909,0.03122949,2,2.15,1.45,1.28,0.09,0.15,0.46,0.29,0.53,0.33,0.3,0.75,-0.1,-1.222646,0.47913367,0
10/13/1993,461.12,461.98,460.76,461.49,461.49,290930000,0.000801751,2,0.006123643,0.135552987,3,2.17,1.43,1.28,0.1,0.16,0.48,0.27,0.53,0.34,0.29,0.76,-0.11,-1.15951,0.47531468,0
10/14/1993,461.55,466.83,461.55,466.83,466.83,352530000,0.011438854,3,0.006347064,0.369402195,4,2.15,1.41,1.25,0.1,0.18,0.46,0.27,0.52,0.32,0.3,0.75,-0.12,-0.53013426,0.48572722,0
10/15/1993,466.83,471.1,466.83,469.5,469.5,366110000,0.005686901,1,0.006516507,0.411509341,5,2.11,1.38,1.21,0.1,0.17,0.46,0.25,0.51,0.33,0.29,0.72,-0.13,-0.8235157,0.6656816,0
10/18/1993,469.5,470.04,468.02,468.45,468.45,329580000,-0.002241435,1,0.006222649,0.261960829,1,2.14,1.43,1.19,0.1,0.16,0.45,0.3,0.52,0.33,0.28,0.72,-0.14,-1.257247,0.3882478,0
10/19/1993,468.41,468.64,464.8,466.21,466.21,304400000,-0.004804702,1,0.006003732,0.159492424,1,2.14,1.41,1.19,0.11,0.15,0.47,0.28,0.52,0.34,0.27,0.71,-0.13,-1.2652063,0.38022953,0
10/20/1993,466.21,466.87,464.54,466.07,466.07,305670000,-0.000300384,2,0.005828524,0.160725135,2,2.15,1.4,1.19,0.11,0.16,0.48,0.27,0.51,0.34,0.28,0.71,-0.14,-1.2403554,0.38229853,0
10/21/1993,466.06,466.64,464.38,465.36,465.36,289600000,-0.001525701,1,0.005812704,0.098555112,1,2.23,1.46,1.2,0.13,0.15,0.49,0.3,0.53,0.35,0.28,0.71,-0.14,-1.3072284,0.36912075,0
10/22/1993,465.36,467.82,463.27,463.27,463.27,301440000,-0.004511408,1,0.006152999,0.140569604,2,2.31,1.51,1.22,0.14,0.17,0.49,0.32,0.53,0.39,0.27,0.71,-0.15,-1.3279105,0.3545791,0
10/25/1993,463.27,464.49,462.05,464.2,464.2,260310000,0.002003447,2,0.005953253,-0.015421197,1,2.33,1.52,1.2,0.14,0.17,0.5,0.31,0.56,0.39,0.26,0.7,-0.15,-1.3055203,0.39975923,0
