,id,year,month,copper,farm_products,farm_products_plus,fuels_and_power,furniture,industrial_commodities,lumber,machinery,metals,ppi_all,processed_foods_and_feeds,rubber_and_plastics,warehousing
663,191301.0,1913.0,01,,17.6,,,,12.3,,,,12.1,,,
664,191302.0,1913.0,02,,17.5,,,,12.2,,,,12.0,,,
665,191303.0,1913.0,03,,17.6,,,,12.1,,,,12.0,,,
666,191304.0,1913.0,04,,17.5,,,,12.0,,,,12.0,,,
667,191305.0,1913.0,05,,17.4,,,,11.9,,,,11.9,,,
668,191306.0,1913.0,06,,17.6,,,,11.8,,,,11.9,,,
669,191307.0,1913.0,07,,18.1,,,,11.8,,,,12.0,,,
670,191308.0,1913.0,08,,18.2,,,,11.7,,,,12.0,,,
671,191309.0,1913.0,09,,18.8,,,,11.8,,,,12.2,,,
672,191310.0,1913.0,10,,18.8,,,,11.8,,,,12.2,,,
673,191311.0,1913.0,11,,18.9,,,,11.7,,,,12.1,,,
674,191312.0,1913.0,12,,18.5,,,,11.6,,,,11.9,,,
675,191401.0,1914.0,01,,18.4,,,,11.5,,,,11.8,,,
676,191402.0,1914.0,02,,18.3,,,,11.5,,,,11.8,,,
677,191403.0,1914.0,03,,18.2,,,,11.5,,,,11.7,,,
678,191404.0,1914.0,04,,18.0,,,,11.5,,,,11.7,,,
679,191405.0,1914.0,05,,18.0,,,,11.4,,,,11.6,,,
680,191406.0,1914.0,06,,18.1,,,,11.3,,,,11.6,,,
681,191407.0,1914.0,07,,18.0,,,,11.2,,,,11.6,,,
682,191408.0,1914.0,08,,18.3,,,,11.2,,,,12.0,,,
683,191409.0,1914.0,09,,17.9,,,,11.3,,,,12.1,,,
684,191410.0,1914.0,10,,17.2,,,,11.0,,,,11.7,,,
685,191411.0,1914.0,11,,17.6,,,,11.0,,,,11.7,,,
686,191412.0,1914.0,12,,17.4,,,,11.0,,,,11.6,,,
687,191501.0,1915.0,01,,18.1,,,,11.1,,,,11.8,,,
688,191502.0,1915.0,02,,18.4,,,,11.0,,,,11.8,,,
689,191503.0,1915.0,03,,17.9,,,,11.0,,,,11.8,,,
690,191504.0,1915.0,04,,18.2,,,,11.1,,,,11.8,,,
691,191505.0,1915.0,05,,18.2,,,,11.2,,,,11.9,,,
692,191506.0,1915.0,06,,17.7,,,,11.4,,,,11.8,,,
693,191507.0,1915.0,07,,18.1,,,,11.5,,,,11.9,,,
694,191508.0,1915.0,08,,17.9,,,,11.5,,,,11.8,,,
695,191509.0,1915.0,09,,17.5,,,,11.7,,,,11.8,,,
