Date,Open,High,Low,Close,Adj_Close,Volume,pct_dif_1,price_days,atr_pct,volume_pct,volume_days,x,y,class
3/29/1950,17.44,17.44,17.44,17.44,17.44,2090000,-0.00516055,1,0.003440367,0.227366154,1,-1.519527,0.081147455,1
3/30/1950,17.3,17.3,17.3,17.3,17.3,2370000,-0.008092486,1,0.003843931,0.376839659,2,-0.69689506,3.8587708,2
3/31/1950,17.29,17.29,17.29,17.29,17.29,1880000,-0.000578369,2,0.003701562,0.092282367,1,-2.9550886,-4.426664,3
4/3/1950,17.53,17.53,17.53,17.53,17.53,1570000,0.013690816,3,0.004249857,-0.079088865,1,5.295177,-1.5411674,0
4/4/1950,17.55,17.55,17.55,17.55,17.55,2010000,0.001139601,1,0.003960114,0.17900088,2,-0.6032256,4.5545726,2
4/5/1950,17.63,17.63,17.63,17.63,17.63,1430000,0.00453772,2,0.004140669,-0.152173913,1,-2.449394,-5.6447687,3
4/6/1950,17.78,17.78,17.78,17.78,17.78,2000000,0.008436445,3,0.004190101,0.187648456,2,3.2650154,3.1793642,0
4/10/1950,17.85,17.85,17.85,17.85,17.85,2070000,0.003921569,1,0.004313725,0.236066879,3,2.420639,-3.0758183,0
4/11/1950,17.75,17.75,17.75,17.75,17.75,2010000,-0.005633803,1,0.004535211,0.21181672,1,-1.5705286,0.058196295,1
4/12/1950,17.94,17.94,17.94,17.94,17.94,2010000,0.010590858,2,0.004654404,0.228105906,2,4.5072594,1.5990713,0
4/13/1950,17.98,17.98,17.98,17.98,17.98,2410000,0.002224694,1,0.00419911,0.458396369,3,2.279629,-2.2869384,0
4/14/1950,17.96,17.96,17.96,17.96,17.96,2750000,-0.001113586,1,0.004148107,0.648186994,4,2.1655624,-1.2889471,0
4/17/1950,17.88,17.88,17.88,17.88,17.88,2520000,-0.004474273,1,0.004278523,0.496140906,1,-1.3815877,0.6261871,1
4/18/1950,18.03,18.03,18.03,18.03,18.03,3320000,0.008319468,2,0.00463117,0.930045538,2,2.8477478,1.1046436,0
4/19/1950,18.05,18.05,18.05,18.05,18.05,2950000,0.001108033,1,0.00465374,0.690221543,1,-1.2817686,1.0163888,1
4/20/1950,17.93,17.93,17.93,17.93,17.93,2590000,-0.006692694,1,0.004740658,0.46645277,1,-1.40996,0.60065305,1
4/21/1950,17.96,17.96,17.96,17.96,17.96,2710000,0.001670379,2,0.004788419,0.513543703,2,4.0152764,1.4380832,0
4/24/1950,17.83,17.83,17.83,17.83,17.83,2310000,-0.007291082,1,0.005187886,0.282858201,1,-1.5633347,0.24988899,1
4/25/1950,17.83,17.83,17.83,17.83,17.83,1830000,0,2,0.004907459,0.009933775,1,-2.9412284,-4.846689,3
