Month,YYYY,ICS_ALL
November,1952,86.2
February,1953,90.7
August,1953,80.8
November,1953,80.7
February,1954,82
May,1954,82.9
November,1954,87
February,1955,95.9
May,1955,99.1
November,1955,99.7
May,1956,98.2
August,1956,99.9
November,1956,100.2
May,1957,92.9
November,1957,83.7
February,1958,78.5
May,1958,80.9
November,1958,90.8
May,1959,95.3
November,1959,93.8
February,1960,100
May,1960,93.3
August,1960,97.2
November,1960,90.1
February,1961,91.6
May,1961,92.5
August,1961,99.2
November,1961,93
February,1962,99.9
May,1962,95.4
August,1962,91.6
November,1962,95
February,1963,98.4
May,1963,91.7
August,1963,96.4
November,1963,94.4
February,1964,99.5
May,1964,98.5
August,1964,100.6
November,1964,99.9
February,1965,102
May,1965,105.4
August,1965,103.4
November,1965,102.9
February,1966,100
May,1966,95.7
August,1966,91.2
November,1966,88.3
February,1967,94.1
May,1967,95.9
August,1967,97
November,1967,92.9
February,1968,97.2
May,1968,92.4
August,1968,92.4
November,1968,91.7
February,1969,98.2
May,1969,91.5
August,1969,86.4
November,1969,79.7
February,1970,78.1
May,1970,75.4
August,1970,77.6
November,1970,72.4
February,1971,78.1
May,1971,80.2
August,1971,82.1
November,1971,82
February,1972,92.8
May,1972,88.6
August,1972,95.2
November,1972,90.7
February,1973,81.9
May,1973,77
August,1973,72
November,1973,76.5
February,1974,61.8
May,1974,72.1
August,1974,64.4
November,1974,59.5
February,1975,57.6
May,1975,72.8
August,1975,75.7
November,1975,75.6
February,1976,84.6
May,1976,83.3
August,1976,89.7
November,1976,87
February,1977,87.1
May,1977,90.2
August,1977,89
November,1977,84.4
January,1978,83.7
February,1978,84.3
March,1978,78.8
April,1978,81.6
May,1978,82.9
June,1978,80
July,1978,82.4
August,1978,78.4
September,1978,80.4
October,1978,79.3
November,1978,75
December,1978,66.1
January,1979,72.1
February,1979,73.9
March,1979,68.4
April,1979,66
May,1979,68.1
June,1979,65.8
July,1979,60.4
August,1979,64.5
September,1979,66.7
October,1979,62.1
November,1979,63.3
December,1979,61
January,1980,67
February,1980,66.9
March,1980,56.5
April,1980,52.7
May,1980,51.7
June,1980,58.7
July,1980,62.3
August,1980,67.3
September,1980,73.7
October,1980,75
November,1980,76.7
December,1980,64.5
January,1981,71.4
February,1981,66.9
March,1981,66.5
April,1981,72.4
May,1981,76.3
June,1981,73.1
July,1981,74.1
August,1981,77.2
September,1981,73.1
October,1981,70.3
November,1981,62.5
December,1981,64.3
January,1982,71
February,1982,66.5
March,1982,62
April,1982,65.5
May,1982,67.5
June,1982,65.7
July,1982,65.4
August,1982,65.4
September,1982,69.3
October,1982,73.4
November,1982,72.1
December,1982,71.9
January,1983,70.4
February,1983,74.6
March,1983,80.8
April,1983,89.1
May,1983,93.3
June,1983,92.2
July,1983,92.8
August,1983,90.9
September,1983,89.9
October,1983,89.3
November,1983,91.1
December,1983,94.2
January,1984,100.1
February,1984,97.4
March,1984,101
April,1984,96.1
May,1984,98.1
June,1984,95.5
July,1984,96.6
August,1984,99.1
September,1984,100.9
October,1984,96.3
November,1984,95.7
December,1984,92.9
January,1985,96
February,1985,93.7
March,1985,93.7
April,1985,94.6
May,1985,91.8
June,1985,96.5
July,1985,94
August,1985,92.4
September,1985,92.1
October,1985,88.4
November,1985,90.9
December,1985,93.9
January,1986,95.6
February,1986,95.9
March,1986,95.1
April,1986,96.2
May,1986,94.8
June,1986,99.3
July,1986,97.7
August,1986,94.9
September,1986,91.9
October,1986,95.6
November,1986,91.4
December,1986,89.1
January,1987,90.4
February,1987,90.2
March,1987,90.8
April,1987,92.8
May,1987,91.1
June,1987,91.5
July,1987,93.7
August,1987,94.4
September,1987,93.6
October,1987,89.3
November,1987,83.1
December,1987,86.8
January,1988,90.8
February,1988,91.6
March,1988,94.6
April,1988,91.2
May,1988,94.8
June,1988,94.7
July,1988,93.4
August,1988,97.4
September,1988,97.3
October,1988,94.1
November,1988,93
December,1988,91.9
January,1989,97.9
February,1989,95.4
March,1989,94.3
