,Date,d20_ma_chg_zscore,d50_ma_chg_zscore,d200_ma_chg_zscore
0,1973-02-21,,,
1,1973-02-22,,,
2,1973-02-23,,,
3,1973-02-26,,,
4,1973-02-27,,,
5,1973-02-28,,,
6,1973-03-01,,,
7,1973-03-02,,,
8,1973-03-05,,,
9,1973-03-06,,,
10,1973-03-07,,,
11,1973-03-08,,,
12,1973-03-09,,,
13,1973-03-12,,,
14,1973-03-13,,,
15,1973-03-14,,,
16,1973-03-15,,,
17,1973-03-16,,,
18,1973-03-19,,,
19,1973-03-20,-1.2554246163608882,,
20,1973-03-21,-1.5591447480225926,,
21,1973-03-22,-1.828962815623996,,
22,1973-03-23,-2.0656573348918212,,
23,1973-03-26,-2.7881355787954614,,
24,1973-03-27,-2.1730797532263666,,
25,1973-03-28,-2.454520566411135,,
26,1973-03-29,-2.4090648805155834,,
27,1973-03-30,-2.458971888297911,,
28,1973-04-02,-2.4947326146594104,,
29,1973-04-03,-2.817574579913472,,
30,1973-04-04,-1.153277188766224,,
31,1973-04-05,-0.99647838681074,,
32,1973-04-06,-0.6365200818038951,,
33,1973-04-09,-0.4862322694519374,,
34,1973-04-10,1.0700361685152509,,
35,1973-04-11,1.7923002546659865,,
36,1973-04-12,1.9256262285481676,,
37,1973-04-13,1.6707543204393545,,
38,1973-04-16,2.6560316735676754,,
39,1973-04-17,1.9289401756911226,,
40,1973-04-18,2.254464280054693,,
41,1973-04-19,2.1261225376410633,,
42,1973-04-23,1.981466741043248,,
43,1973-04-24,1.487081343098482,,
44,1973-04-25,1.1436111607372048,,
45,1973-04-26,0.690730751948589,,
46,1973-04-27,0.9574077099647316,,
47,1973-04-30,0.9884740215362429,,
48,1973-05-01,0.40035125493088136,,
49,1973-05-02,0.40764741080138817,0.3697242537675353,
50,1973-05-03,0.773668321583129,0.6933759487113184,
51,1973-05-04,0.8156859440959775,0.8087996246681489,
52,1973-05-07,0.17446456697682622,0.4466516371186713,
53,1973-05-08,0.3422238721432556,0.6394378905636274,
54,1973-05-09,0.3666834783601194,0.6948802439687822,
55,1973-05-10,0.5136877748752374,0.8231129871157603,
56,1973-05-11,0.17185275655394125,0.6089435186343208,
57,1973-05-14,-0.6478305165035162,0.05659415915786943,
58,1973-05-15,-0.5058296403490592,0.13363343039121026,
59,1973-05-16,0.27883387279948707,0.6919668254083245,
60,1973-05-17,-0.021611510279875474,0.4892783996406996,
61,1973-05-18,-0.3069892046840616,0.2878756582594088,
62,1973-05-21,-0.3836720213465058,0.22641700275498677,
63,1973-05-22,-0.9561036404484644,-0.17567907784171968,
64,1973-05-23,-1.1208929172018371,-0.2824462824819753,
65,1973-05-24,-0.512223458984018,0.15457727559200143,
66,1973-05-25,-0.011137793011349463,0.5059518724098471,
67,1973-05-29,0.1830194645200107,0.6260850503828742,
68,1973-05-30,0.15211803839748497,0.6013431263637093,
69,1973-05-31,0.13155077134549428,0.578108190436583,
70,1973-06-01,-0.1541811303955058,0.34499214333823397,
71,1973-06-04,-0.41502093746163493,0.11236801346782666,
72,1973-06-05,-0.006011460839749883,0.35902677607205485,
73,1973-06-06,0.009376994424765125,0.3147700920770534,
74,1973-06-07,0.4185876273246177,0.5501616675070105,
75,1973-06-08,0.04019873145321329,0.2296307931794251,
76,1973-06-11,0.15292938955392346,0.2537302134425958,
77,1973-06-12,0.21914891846543819,0.2734883431063817,
78,1973-06-13,0.09110469106837496,0.1539548780272371,
79,1973-06-14,0.20365480638045524,0.16407785962934837,
80,1973-06-15,-0.28735821956162433,-0.21099261013473034,
81,1973-06-18,-0.7690098791129095,-0.5782247796004694,
82,1973-06-19,-0.6464426648862391,-0.5325768950186441,
83,1973-06-20,-0.753969554531374,-0.6224447522983828,
84,1973-06-21,-1.2565341164515156,-0.9616899594629227,
85,1973-06-22,-0.9240290309874196,-0.749895169563797,
86,1973-06-25,-1.1674425686770395,-0.9432629462195145,
87,1973-06-26,-1.0927952227070106,-0.9340368042803413,
88,1973-06-27,-1.017777051921089,-0.911594963882438,
89,1973-06-28,-0.9423852862251303,-0.8970470309490314,
90,1973-06-29,-1.4748404885748172,-1.281417424140832,
91,1973-07-02,-1.79713865818595,-1.5241192825722596,
92,1973-07-03,-1.6833803810502723,-1.4919133766970953,
93,1973-07-05,-1.5687412982988929,-1.4634838667004502,
94,1973-07-06,-1.8351821271214144,-1.7089272301863303,
95,1973-07-09,-1.598953475492332,-1.614069382109712,
96,1973-07-10,-1.665033485712632,-1.7192250817090322,
97,1973-07-11,-1.30846270665762,-1.5468657712436762,
98,1973-07-12,-1.1688688069453406,-1.5182929929502451,
99,1973-07-13,-1.1256086074318283,-1.5554059542636303,
100,1973-07-16,-0.9996174872663465,-1.5163166339266807,
101,1973-07-17,-0.8991260723220655,-1.4744477452823213,
102,1973-07-18,-0.6886626003912893,-1.3701999674511653,
103,1973-07-19,-0.5918574252049106,-1.3318298978065397,
104,1973-07-20,-0.4170863804471685,-1.2229299357056402,
105,1973-07-23,0.18777766212620714,-0.8356502239750938,
106,1973-07-24,0.3313380231511611,-0.7349845671995605,
107,1973-07-25,0.3648822020547378,-0.7157436360457661,
108,1973-07-26,0.2936500712649151,-0.7644616888598568,
109,1973-07-27,0.017726021693401327,-0.9399298311670164,
110,1973-07-30,-0.06524071739642873,-0.976764029887026,
111,1973-07-31,-0.37551962264873506,-1.1559553921167063,
112,1973-08-01,-0.5644216853375449,-1.2631727190572957,
113,1973-08-02,-1.3774921128538897,-1.796381190812317,
114,1973-08-03,-1.3240771142405208,-1.7621176970595647,
115,1973-08-06,-1.0526481199758344,-1.579114648841934,
116,1973-08-07,-0.9084548509876895,-1.4617801087764102,
117,1973-08-08,-0.8648739580777223,-1.4131781095736493,
118,1973-08-09,-1.141031378179771,-1.5768456108973508,
119,1973-08-10,-1.300570881893715,-1.666323333133845,
120,1973-08-13,-1.557295589884295,-1.8289283950689257,
121,1973-08-14,-1.799384976757865,-1.992456565450836,
122,1973-08-15,-1.481579354164473,-1.7890909647672735,
123,1973-08-16,-1.3892268994333155,-1.7310159769051932,
124,1973-08-17,-1.2908159145480833,-1.6671356553521963,
125,1973-08-20,-0.8372033036927032,-1.3913062132998968,
126,1973-08-21,-0.938098057599544,-1.4793534804236685,
127,1973-08-22,-0.6990710070437167,-1.345448730961997,
128,1973-08-23,-0.6899624657052662,-1.3595104829023252,
129,1973-08-24,-0.24989149155481502,-1.0780272443069197,
130,1973-08-27,-0.16288136361087988,-1.026545936831812,
131,1973-08-28,-0.31504311509181393,-1.1290779019814001,
132,1973-08-29,-0.3566092966934965,-1.15408250757868,
133,1973-08-30,0.22935670320250004,-0.735847635276931,
134,1973-08-31,0.22935670320250004,-0.7006313235379303,
135,1973-09-04,0.6861120085961663,-0.3644378137577505,
136,1973-09-05,0.7912059091617352,-0.260278414038632,
137,1973-09-06,1.5554586915149191,0.28808753696229544,
138,1973-09-07,2.1441376638218914,0.7520916419938543,
139,1973-09-10,1.7998873903491428,0.6130949476383799,
140,1973-09-11,1.3421928944906703,0.39338460172344103,
141,1973-09-12,0.9969329755678891,0.24630959755198517,
142,1973-09-13,0.7867463678735606,0.17660777458655988,
143,1973-09-14,1.1272172939877847,0.4801925645482351,
144,1973-09-17,1.0086058105023414,0.47393650234394974,
145,1973-09-18,0.9084659118770894,0.4692467514128392,
146,1973-09-19,0.7972770679532128,0.4614351141161052,
147,1973-09-20,0.7998580850869663,0.5309931946695475,
148,1973-09-21,1.3243362187190808,0.9698575391424505,
149,1973-09-24,2.2496216533825004,1.6927419870959373,
150,1973-09-25,2.0524399425407727,1.658204530653918,
151,1973-09-26,2.681469755226523,2.2135922135220465,
152,1973-09-27,2.315678817005076,2.0931387816982077,
153,1973-09-28,1.6810510329408999,1.754494855294286,
