,Days_Shifted,Correlation_Coefficient
0,-300,-0.023895822308864327
1,-299,-0.02455636811279484
2,-298,-0.025097382153366044
3,-297,-0.025637116814231732
4,-296,-0.02617211177746997
5,-295,-0.02679497307013993
6,-294,-0.02750794305650801
7,-293,-0.028200087447201348
8,-292,-0.02895832668902817
9,-291,-0.029661088523907034
10,-290,-0.03041466424922244
11,-289,-0.031069911725469055
12,-288,-0.031702312525580464
13,-287,-0.03233081634575739
14,-286,-0.03294012030606559
15,-285,-0.033538491181971955
16,-284,-0.03418200320876132
17,-283,-0.03490638944308741
18,-282,-0.03560712104877018
19,-281,-0.03633221797281021
20,-280,-0.03700015629576396
21,-279,-0.03770251935800786
22,-278,-0.03834178268561844
23,-277,-0.03896910872862451
24,-276,-0.03973000844413336
25,-275,-0.04042772234404337
26,-274,-0.0410484966524497
27,-273,-0.04170989600921235
28,-272,-0.04242613851840698
29,-271,-0.04303444537820289
30,-270,-0.043691850644040485
31,-269,-0.0444038273134575
32,-268,-0.04508602409820292
33,-267,-0.04584270146321414
34,-266,-0.0465660476088663
35,-265,-0.04722662847854858
36,-264,-0.047900161591860106
37,-263,-0.04849808705568648
38,-262,-0.04912981367515511
39,-261,-0.04970807037314748
40,-260,-0.05025011108763963
41,-259,-0.05075169096216026
42,-258,-0.05120598957898096
43,-257,-0.05167292606232809
44,-256,-0.05206186402561354
45,-255,-0.05239679407219302
46,-254,-0.05276810974455936
47,-253,-0.05320613798160612
48,-252,-0.05370096586673564
49,-251,-0.05419981418168385
50,-250,-0.05465794914818762
51,-249,-0.05474577197988428
52,-248,-0.05498658103603161
53,-247,-0.05534020662600607
54,-246,-0.055812237732897056
55,-245,-0.05631551791506158
56,-244,-0.05690506403195608
57,-243,-0.05742494249910393
58,-242,-0.05790401956480613
59,-241,-0.0584320491480123
60,-240,-0.058762469917734705
61,-239,-0.058939967663068624
62,-238,-0.05911566297357558
63,-237,-0.05931338819068695
64,-236,-0.05951583951800631
65,-235,-0.05972547687681523
66,-234,-0.059867848466564816
67,-233,-0.060109570014043656
68,-232,-0.06031367001497767
69,-231,-0.06055780028904327
